location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
BQ,2020-01-01,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,27.259259,23.62037,31.416667,0.0,20.601852,67.786038
BQ,2020-01-02,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,27.925926,24.314815,31.287037,0.0,20.814815,66.185032
BQ,2020-01-03,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,27.722222,23.814815,31.601852,0.084667,21.240741,68.200165
BQ,2020-01-04,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,27.222222,24.314815,31.25,0.042333,20.925926,68.736712
BQ,2020-01-05,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,26.972222,22.546296,30.277778,1.439333,21.027778,70.895078
BQ,2020-01-06,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,26.5,24.064815,30.231481,0.889,21.222222,73.918268
BQ,2020-01-07,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,27.768519,24.046296,31.203704,3.175,21.277778,69.372176
BQ,2020-01-08,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,28.009259,24.25,31.435185,0.423333,21.194444,67.036603
BQ,2020-01-09,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,26.866667,23.755556,30.655556,0.0,20.922222,70.10404
BQ,2020-01-10,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,26.546296,23.75,29.833333,4.064,20.851852,71.653716
BQ,2020-01-11,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,26.694444,23.5,30.37037,4.1656,21.148148,71.847452
BQ,2020-01-12,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,27.212963,23.37963,30.537037,0.254,21.333333,70.635251
BQ,2020-01-13,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,26.777778,23.018519,30.962963,1.778,20.972222,71.16917
BQ,2020-01-14,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,26.805556,22.416667,30.638889,2.243667,20.055556,67.481363
BQ,2020-01-15,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,25.58642,21.345679,30.666667,1.5875,19.771605,70.585716
BQ,2020-01-16,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,26.506173,22.820988,30.567901,0.0,21.160494,72.913683
BQ,2020-01-17,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,27.018519,23.641975,30.030864,2.398889,21.08642,70.718044
BQ,2020-01-18,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,25.783951,21.765432,30.697531,0.508,20.765432,74.16141
BQ,2020-01-19,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,25.833333,21.351852,31.580247,0.141111,19.962963,70.308913
BQ,2020-01-20,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,26.842593,24.018519,30.5,0.0,21.555556,72.968395
BQ,2020-01-21,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,27.398148,24.5,30.87963,0.0508,21.805556,72.122808
BQ,2020-01-22,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,27.231481,24.342593,30.12037,0.0,21.87963,73.003632
BQ,2020-01-23,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,26.633333,23.555556,31.011111,0.0,21.866667,75.279346
BQ,2020-01-24,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,26.759259,21.024691,31.888889,0.0,18.91358,63.560852
BQ,2020-01-25,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,25.858025,19.462963,32.555556,0.0,18.512346,65.176527
BQ,2020-01-26,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,25.876543,20.333333,32.401235,0.366889,19.487654,68.677161
BQ,2020-01-27,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,26.469136,21.240741,32.351852,0.0,19.858025,67.668261
BQ,2020-01-28,ChIJt7kdj4sYIowRz7WDIdc1beE,Q27561,country/BES,BQ,Caribbean Netherlands,BQ,BES,0,,,,,,,26221,15971,15575,79.942,3788,3565,3771,4747,4191,5594,3259,1975,657,1216720,12.183333,-68.233333,322,26.62963,21.098765,32.438272,0.0,19.697531,66.570389
