location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,population,population_male,population_female,population_rural,population_urban,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,adult_male_mortality_rate,adult_female_mortality_rate,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
GU,2020-01-01,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,GU,GUM,0,0,0,,0,0,,168783,85140,83643,8601,158693,312.561,26980,27161,27031,21835,19936,20164,14331,7781,3564,5920000000,35712,1152532,13.5,144.8,540,33,515,79.859,18.7,79.819,39.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.793651,24.611111,28.97619,0.0,21.037037,71.098025
GU,2020-01-02,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,GU,GUM,0,0,0,,0,0,,168783,85140,83643,8601,158693,312.561,26980,27161,27031,21835,19936,20164,14331,7781,3564,5920000000,35712,1152532,13.5,144.8,540,33,515,79.859,18.7,79.819,39.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.642857,24.253968,29.246032,0.677333,20.175926,68.623979
GU,2020-01-03,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,GU,GUM,0,0,0,,0,0,,168783,85140,83643,8601,158693,312.561,26980,27161,27031,21835,19936,20164,14331,7781,3564,5920000000,35712,1152532,13.5,144.8,540,33,515,79.859,18.7,79.819,39.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.738095,24.452381,29.126984,0.508,21.324074,72.216861
GU,2020-01-04,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,GU,GUM,0,0,0,,0,0,,168783,85140,83643,8601,158693,312.561,26980,27161,27031,21835,19936,20164,14331,7781,3564,5920000000,35712,1152532,13.5,144.8,540,33,515,79.859,18.7,79.819,39.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.714286,24.34127,29.134921,0.181429,21.194444,71.908804
GU,2020-01-05,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,GU,GUM,0,0,0,,0,0,,168783,85140,83643,8601,158693,312.561,26980,27161,27031,21835,19936,20164,14331,7781,3564,5920000000,35712,1152532,13.5,144.8,540,33,515,79.859,18.7,79.819,39.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.722222,24.293651,29.349206,0.0,20.666667,69.934311
GU,2020-01-06,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,GU,GUM,0,0,0,,0,0,,168783,85140,83643,8601,158693,312.561,26980,27161,27031,21835,19936,20164,14331,7781,3564,5920000000,35712,1152532,13.5,144.8,540,33,515,79.859,18.7,79.819,39.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.865079,24.65873,29.055556,0.254,20.944444,70.176597
GU,2020-01-07,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,GU,GUM,0,0,0,,0,0,,168783,85140,83643,8601,158693,312.561,26980,27161,27031,21835,19936,20164,14331,7781,3564,5920000000,35712,1152532,13.5,144.8,540,33,515,79.859,18.7,79.819,39.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.365079,24.31746,29.015873,0.1905,21.333333,74.198511
GU,2020-01-08,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,GU,GUM,0,0,0,,0,0,,168783,85140,83643,8601,158693,312.561,26980,27161,27031,21835,19936,20164,14331,7781,3564,5920000000,35712,1152532,13.5,144.8,540,33,515,79.859,18.7,79.819,39.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.230159,24.444444,28.690476,0.4572,22.25,79.308899
GU,2020-01-09,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,GU,GUM,0,0,0,,0,0,,168783,85140,83643,8601,158693,312.561,26980,27161,27031,21835,19936,20164,14331,7781,3564,5920000000,35712,1152532,13.5,144.8,540,33,515,79.859,18.7,79.819,39.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.206349,24.674603,28.595238,5.969,23.064815,83.544073
GU,2020-01-10,ChIJ7yQPk_92H2cRpuWzxZGucVU,Q16635,country/GUM,GU,Guam,GU,GUM,0,0,0,,0,0,,168783,85140,83643,8601,158693,312.561,26980,27161,27031,21835,19936,20164,14331,7781,3564,5920000000,35712,1152532,13.5,144.8,540,33,515,79.859,18.7,79.819,39.075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.626984,24.944444,28.595238,4.953,23.231481,82.520754
