location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
LR,2020-01-21,ChIJwfyp1AP4CQ8Rc2PRMmso038,Q1014,country/LBR,LR,Liberia,LR,LBR,0,0,0,1,1,,,,,,,,5057677,2542539,2515138,2388948,2548426,1467026,1467026,52.509,0.435,1418816,1175025,840853,629808,444196,283828,168470,76455,20226,3070518100,621,0.319,192780,6.533333,-9.75,111370,95634,434,63.73,9.8,2.4,53.5,247.482,207.08,170.2,17.6,0.5321,0.0376,56.59903,25.756157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.388889,22.12963,33.12963,0.0,22.555556,75.037525
LR,2020-01-22,ChIJwfyp1AP4CQ8Rc2PRMmso038,Q1014,country/LBR,LR,Liberia,LR,LBR,0,0,0,1,1,,,,,,,,5057677,2542539,2515138,2388948,2548426,1467026,1467026,52.509,0.435,1418816,1175025,840853,629808,444196,283828,168470,76455,20226,3070518100,621,0.319,192780,6.533333,-9.75,111370,95634,434,63.73,9.8,2.4,53.5,247.482,207.08,170.2,17.6,0.5321,0.0376,56.59903,25.756157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.555556,17.694444,27.861111,0.0,23.166667,92.046371
LR,2020-01-23,ChIJwfyp1AP4CQ8Rc2PRMmso038,Q1014,country/LBR,LR,Liberia,LR,LBR,0,0,0,1,1,,,,,,,,5057677,2542539,2515138,2388948,2548426,1467026,1467026,52.509,0.435,1418816,1175025,840853,629808,444196,283828,168470,76455,20226,3070518100,621,0.319,192780,6.533333,-9.75,111370,95634,434,63.73,9.8,2.4,53.5,247.482,207.08,170.2,17.6,0.5321,0.0376,56.59903,25.756157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.361111,21.444444,32.888889,0.0,21.5,74.978073
LR,2020-01-24,ChIJwfyp1AP4CQ8Rc2PRMmso038,Q1014,country/LBR,LR,Liberia,LR,LBR,0,0,0,1,1,,,,,,,,5057677,2542539,2515138,2388948,2548426,1467026,1467026,52.509,0.435,1418816,1175025,840853,629808,444196,283828,168470,76455,20226,3070518100,621,0.319,192780,6.533333,-9.75,111370,95634,434,63.73,9.8,2.4,53.5,247.482,207.08,170.2,17.6,0.5321,0.0376,56.59903,25.756157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.527778,19.944444,30.111111,0.0,18.388889,71.569904
LR,2020-01-25,ChIJwfyp1AP4CQ8Rc2PRMmso038,Q1014,country/LBR,LR,Liberia,LR,LBR,0,0,0,1,1,,,,,,,,5057677,2542539,2515138,2388948,2548426,1467026,1467026,52.509,0.435,1418816,1175025,840853,629808,444196,283828,168470,76455,20226,3070518100,621,0.319,192780,6.533333,-9.75,111370,95634,434,63.73,9.8,2.4,53.5,247.482,207.08,170.2,17.6,0.5321,0.0376,56.59903,25.756157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.861111,17.0,34.638889,0.0,18.722222,65.680995
LR,2020-01-26,ChIJwfyp1AP4CQ8Rc2PRMmso038,Q1014,country/LBR,LR,Liberia,LR,LBR,0,0,0,1,1,,,,,,,,5057677,2542539,2515138,2388948,2548426,1467026,1467026,52.509,0.435,1418816,1175025,840853,629808,444196,283828,168470,76455,20226,3070518100,621,0.319,192780,6.533333,-9.75,111370,95634,434,63.73,9.8,2.4,53.5,247.482,207.08,170.2,17.6,0.5321,0.0376,56.59903,25.756157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.944444,19.0,34.555556,0.0,18.583333,65.110714
LR,2020-01-27,ChIJwfyp1AP4CQ8Rc2PRMmso038,Q1014,country/LBR,LR,Liberia,LR,LBR,0,0,0,1,1,,,,,,,,5057677,2542539,2515138,2388948,2548426,1467026,1467026,52.509,0.435,1418816,1175025,840853,629808,444196,283828,168470,76455,20226,3070518100,621,0.319,192780,6.533333,-9.75,111370,95634,434,63.73,9.8,2.4,53.5,247.482,207.08,170.2,17.6,0.5321,0.0376,56.59903,25.756157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.027778,19.361111,34.611111,0.0,19.611111,68.417462
LR,2020-01-28,ChIJwfyp1AP4CQ8Rc2PRMmso038,Q1014,country/LBR,LR,Liberia,LR,LBR,0,0,0,1,1,,,,,,,,5057677,2542539,2515138,2388948,2548426,1467026,1467026,52.509,0.435,1418816,1175025,840853,629808,444196,283828,168470,76455,20226,3070518100,621,0.319,192780,6.533333,-9.75,111370,95634,434,63.73,9.8,2.4,53.5,247.482,207.08,170.2,17.6,0.5321,0.0376,56.59903,25.756157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.805556,20.638889,33.944444,0.0,20.888889,71.24566
LR,2020-01-29,ChIJwfyp1AP4CQ8Rc2PRMmso038,Q1014,country/LBR,LR,Liberia,LR,LBR,0,0,0,1,1,,,,,,,,5057677,2542539,2515138,2388948,2548426,1467026,1467026,52.509,0.435,1418816,1175025,840853,629808,444196,283828,168470,76455,20226,3070518100,621,0.319,192780,6.533333,-9.75,111370,95634,434,63.73,9.8,2.4,53.5,247.482,207.08,170.2,17.6,0.5321,0.0376,56.59903,25.756157,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,25.916667,20.25,33.75,0.0,19.333333,68.202982
LR,2020-01-30,ChIJwfyp1AP4CQ8Rc2PRMmso038,Q1014,country/LBR,LR,Liberia,LR,LBR,0,0,0,1,1,,,,,,,,5057677,2542539,2515138,2388948,2548426,1467026,1467026,52.509,0.435,1418816,1175025,840853,629808,444196,283828,168470,76455,20226,3070518100,621,0.319,192780,6.533333,-9.75,111370,95634,434,63.73,9.8,2.4,53.5,247.482,207.08,170.2,17.6,0.5321,0.0376,56.59903,25.756157,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,25.194444,19.305556,33.111111,0.0,18.527778,68.572428
