location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,nurses_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
MH,2020-01-11,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.666667,27.388889,30.388889,0.0,24.055556,76.172225
MH,2020-01-12,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.277778,26.722222,30.611111,0.0,23.444444,75.099659
MH,2020-01-13,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.333333,26.611111,30.222222,0.0,24.166667,78.181321
MH,2020-01-14,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.055556,26.5,29.888889,0.762,24.611111,81.599625
MH,2020-01-15,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,27.888889,24.972222,29.138889,0.0,23.75,78.298068
MH,2020-01-16,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.055556,26.777778,29.888889,0.0,22.555556,72.093244
MH,2020-01-17,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.611111,26.222222,31.0,0.0,25.611111,83.854478
MH,2020-01-18,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,29.25,25.25,31.916667,2.413,25.666667,81.075639
MH,2020-01-19,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,29.111111,27.722222,31.5,0.0,25.277778,79.862318
MH,2020-01-20,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.5,26.222222,30.888889,0.254,25.611111,84.397288
MH,2020-01-21,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.777778,27.611111,30.777778,0.0,26.111111,85.544329
MH,2020-01-22,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.777778,25.638889,31.0,2.667,26.138889,85.702011
MH,2020-01-23,ChIJK8opIbIZAWURdrcJqugDPos,Q709,country/MHL,MH,Marshall Islands,MH,MHL,0,0,0,,0,0,,,,,,,,59194,28373,27502,13277,45514,328.856,0.708,12296,11723,8779,9206,5768,3943,2748,1112,301,221278000,3788,571771,9.82,169.29,180,284,0,65.23902,30.5,27.4,3.339,642.199158,79.719673,28.222222,26.888889,29.777778,2.794,25.555556,85.48931
