location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,cumulative_confirmed,cumulative_deceased,cumulative_recovered,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,adult_male_mortality_rate,adult_female_mortality_rate,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
MO,2020-01-01,ChIJ88g14uB6ATQR9qyFtCzje8Y,Q14773,country/MAC,MO,Macau,MO,MAC,0,,,,,,,,,,,,,649342,312100,337242,0,640445,642090,21717.124,68817,46834,88332,129802,93402,99615,78994,29881,13665,53859116535,84096,0.759,1867188,22.166667,113.55,22,30,11,17,84.118,4.3,58.271,24.487,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11.11,17.805556,16.366667,19.855556,0.3556,13.648148,76.507997
MO,2020-01-02,ChIJ88g14uB6ATQR9qyFtCzje8Y,Q14773,country/MAC,MO,Macau,MO,MAC,0,,,,,,,,,,,,,649342,312100,337242,0,640445,642090,21717.124,68817,46834,88332,129802,93402,99615,78994,29881,13665,53859116535,84096,0.759,1867188,22.166667,113.55,22,30,11,17,84.118,4.3,58.271,24.487,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11.11,17.583333,15.166667,20.55,0.0,14.061728,80.05284
MO,2020-01-03,ChIJ88g14uB6ATQR9qyFtCzje8Y,Q14773,country/MAC,MO,Macau,MO,MAC,0,,,,,,,,,,,,,649342,312100,337242,0,640445,642090,21717.124,68817,46834,88332,129802,93402,99615,78994,29881,13665,53859116535,84096,0.759,1867188,22.166667,113.55,22,30,11,17,84.118,4.3,58.271,24.487,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11.11,18.833333,15.094444,23.283333,0.0,15.123457,78.852269
MO,2020-01-04,ChIJ88g14uB6ATQR9qyFtCzje8Y,Q14773,country/MAC,MO,Macau,MO,MAC,0,,,,,,,,,,,,,649342,312100,337242,0,640445,642090,21717.124,68817,46834,88332,129802,93402,99615,78994,29881,13665,53859116535,84096,0.759,1867188,22.166667,113.55,22,30,11,17,84.118,4.3,58.271,24.487,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11.11,19.383333,15.622222,23.016667,0.0,15.709877,79.02152
MO,2020-01-05,ChIJ88g14uB6ATQR9qyFtCzje8Y,Q14773,country/MAC,MO,Macau,MO,MAC,0,,,,,,,,,,,,,649342,312100,337242,0,640445,642090,21717.124,68817,46834,88332,129802,93402,99615,78994,29881,13665,53859116535,84096,0.759,1867188,22.166667,113.55,22,30,11,17,84.118,4.3,58.271,24.487,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11.11,20.833333,17.672222,23.455556,0.0508,16.024691,73.310419
MO,2020-01-06,ChIJ88g14uB6ATQR9qyFtCzje8Y,Q14773,country/MAC,MO,Macau,MO,MAC,0,,,,,,,,,,,,,649342,312100,337242,0,640445,642090,21717.124,68817,46834,88332,129802,93402,99615,78994,29881,13665,53859116535,84096,0.759,1867188,22.166667,113.55,22,30,11,17,84.118,4.3,58.271,24.487,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13.89,21.444444,19.105556,24.405556,0.0,17.197531,76.089862
MO,2020-01-07,ChIJ88g14uB6ATQR9qyFtCzje8Y,Q14773,country/MAC,MO,Macau,MO,MAC,0,,,,,,,,,,,,,649342,312100,337242,0,640445,642090,21717.124,68817,46834,88332,129802,93402,99615,78994,29881,13665,53859116535,84096,0.759,1867188,22.166667,113.55,22,30,11,17,84.118,4.3,58.271,24.487,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13.89,21.833333,18.944444,26.111111,0.0,18.537037,81.201336
MO,2020-01-08,ChIJ88g14uB6ATQR9qyFtCzje8Y,Q14773,country/MAC,MO,Macau,MO,MAC,0,,,,,,,,,,,,,649342,312100,337242,0,640445,642090,21717.124,68817,46834,88332,129802,93402,99615,78994,29881,13665,53859116535,84096,0.759,1867188,22.166667,113.55,22,30,11,17,84.118,4.3,58.271,24.487,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13.89,21.016667,17.711111,26.288889,0.0,13.876543,63.78698
MO,2020-01-09,ChIJ88g14uB6ATQR9qyFtCzje8Y,Q14773,country/MAC,MO,Macau,MO,MAC,0,,,,,,,,,,,,,649342,312100,337242,0,640445,642090,21717.124,68817,46834,88332,129802,93402,99615,78994,29881,13665,53859116535,84096,0.759,1867188,22.166667,113.55,22,30,11,17,84.118,4.3,58.271,24.487,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13.89,19.577778,17.511111,22.677778,0.0,15.211111,76.244105
MO,2020-01-10,ChIJ88g14uB6ATQR9qyFtCzje8Y,Q14773,country/MAC,MO,Macau,MO,MAC,0,,,,,,,,,,,,,649342,312100,337242,0,640445,642090,21717.124,68817,46834,88332,129802,93402,99615,78994,29881,13665,53859116535,84096,0.759,1867188,22.166667,113.55,22,30,11,17,84.118,4.3,58.271,24.487,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13.89,20.172222,17.805556,23.494444,0.0,16.527778,79.883529
