location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,adult_male_mortality_rate,adult_female_mortality_rate,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
AW,2020-01-11,ChIJ23da4s84hY4RL4yBiT6KavE,Q21203,country/ABW,AW,Aruba,AW,ABW,0,0,0,,0,0,,,,,,,,106766,50642,56124,60019,46295,593.144,11757,14010,14980,11244,14271,17205,13754,6958,2587,3056424581,29007,1231749,12.511063,-69.974224,31,180,9,172,76.152,11.6,110.63,68.514,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.569444,23.5,29.805556,5.207,20.722222,70.416382
AW,2020-01-12,ChIJ23da4s84hY4RL4yBiT6KavE,Q21203,country/ABW,AW,Aruba,AW,ABW,0,0,0,,0,0,,,,,,,,106766,50642,56124,60019,46295,593.144,11757,14010,14980,11244,14271,17205,13754,6958,2587,3056424581,29007,1231749,12.511063,-69.974224,31,180,9,172,76.152,11.6,110.63,68.514,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.944444,23.319444,30.055556,0.381,21.083333,70.399894
AW,2020-01-13,ChIJ23da4s84hY4RL4yBiT6KavE,Q21203,country/ABW,AW,Aruba,AW,ABW,0,0,0,,0,0,,,,,,,,106766,50642,56124,60019,46295,593.144,11757,14010,14980,11244,14271,17205,13754,6958,2587,3056424581,29007,1231749,12.511063,-69.974224,31,180,9,172,76.152,11.6,110.63,68.514,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.555556,22.777778,30.194444,2.667,20.722222,70.93611
AW,2020-01-14,ChIJ23da4s84hY4RL4yBiT6KavE,Q21203,country/ABW,AW,Aruba,AW,ABW,0,0,0,,0,0,,,,,,,,106766,50642,56124,60019,46295,593.144,11757,14010,14980,11244,14271,17205,13754,6958,2587,3056424581,29007,1231749,12.511063,-69.974224,31,180,9,172,76.152,11.6,110.63,68.514,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.236111,22.125,29.958333,3.3655,20.027778,69.448671
AW,2020-01-15,ChIJ23da4s84hY4RL4yBiT6KavE,Q21203,country/ABW,AW,Aruba,AW,ABW,0,0,0,,0,0,,,,,,,,106766,50642,56124,60019,46295,593.144,11757,14010,14980,11244,14271,17205,13754,6958,2587,3056424581,29007,1231749,12.511063,-69.974224,31,180,9,172,76.152,11.6,110.63,68.514,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.305556,22.083333,30.208333,3.175,21.208333,73.614056
AW,2020-01-16,ChIJ23da4s84hY4RL4yBiT6KavE,Q21203,country/ABW,AW,Aruba,AW,ABW,0,0,0,,0,0,,,,,,,,106766,50642,56124,60019,46295,593.144,11757,14010,14980,11244,14271,17205,13754,6958,2587,3056424581,29007,1231749,12.511063,-69.974224,31,180,9,172,76.152,11.6,110.63,68.514,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.666667,23.097222,30.708333,0.0,22.138889,76.271562
AW,2020-01-17,ChIJ23da4s84hY4RL4yBiT6KavE,Q21203,country/ABW,AW,Aruba,AW,ABW,0,0,0,,0,0,,,,,,,,106766,50642,56124,60019,46295,593.144,11757,14010,14980,11244,14271,17205,13754,6958,2587,3056424581,29007,1231749,12.511063,-69.974224,31,180,9,172,76.152,11.6,110.63,68.514,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.527778,22.819444,29.944444,5.3975,22.125,76.827754
AW,2020-01-18,ChIJ23da4s84hY4RL4yBiT6KavE,Q21203,country/ABW,AW,Aruba,AW,ABW,0,0,0,,0,0,,,,,,,,106766,50642,56124,60019,46295,593.144,11757,14010,14980,11244,14271,17205,13754,6958,2587,3056424581,29007,1231749,12.511063,-69.974224,31,180,9,172,76.152,11.6,110.63,68.514,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.236111,22.722222,30.194444,1.354667,21.694444,76.297852
AW,2020-01-19,ChIJ23da4s84hY4RL4yBiT6KavE,Q21203,country/ABW,AW,Aruba,AW,ABW,0,0,0,,0,0,,,,,,,,106766,50642,56124,60019,46295,593.144,11757,14010,14980,11244,14271,17205,13754,6958,2587,3056424581,29007,1231749,12.511063,-69.974224,31,180,9,172,76.152,11.6,110.63,68.514,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.805556,22.916667,31.430556,0.3175,21.069444,70.89639
AW,2020-01-20,ChIJ23da4s84hY4RL4yBiT6KavE,Q21203,country/ABW,AW,Aruba,AW,ABW,0,0,0,,0,0,,,,,,,,106766,50642,56124,60019,46295,593.144,11757,14010,14980,11244,14271,17205,13754,6958,2587,3056424581,29007,1231749,12.511063,-69.974224,31,180,9,172,76.152,11.6,110.63,68.514,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.722222,24.277778,30.75,0.0,21.375,72.632382
