location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
DJ,2020-01-11,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,29.388889,25.0,36.0,0.0,23.388889,70.180608
DJ,2020-01-12,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.722222,25.0,30.0,0.0,23.444444,73.185401
DJ,2020-01-13,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.25,20.75,25.0,2.54,20.611111,85.425536
DJ,2020-01-14,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.055556,23.5,29.0,0.0,24.611111,81.599625
DJ,2020-01-15,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.833333,23.5,27.0,0.0,25.388889,91.813401
DJ,2020-01-16,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.722222,22.0,30.0,0.0,22.888889,70.768551
DJ,2020-01-17,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.305556,18.25,29.25,0.0,18.861111,64.725522
DJ,2020-01-18,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.25,16.694444,28.5,0.0,18.333333,66.036629
DJ,2020-01-19,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.055556,21.0,30.0,0.0,24.0,78.665078
DJ,2020-01-20,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.333333,22.5,30.0,0.0,24.388889,79.229747
DJ,2020-01-21,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.277778,21.0,31.0,0.0,22.944444,77.246741
DJ,2020-01-22,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.944444,19.5,29.111111,0.0,20.166667,70.488202
DJ,2020-01-23,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.138889,18.861111,29.305556,0.0,21.083333,69.538498
DJ,2020-01-24,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.777778,25.0,28.0,0.0,23.0,79.81671
DJ,2020-01-25,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
DJ,2020-01-26,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.277778,23.0,30.0,0.0,23.111111,73.602874
DJ,2020-01-27,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.444444,23.0,28.0,0.0,22.888889,76.239221
DJ,2020-01-28,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.166667,19.444444,30.0,0.0,20.166667,65.721687
DJ,2020-01-29,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.333333,18.583333,29.111111,0.0,20.0,68.189526
DJ,2020-01-30,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.277778,21.0,30.0,0.0,23.0,77.506962
DJ,2020-01-31,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,,,,
DJ,2020-02-01,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.055556,21.5,29.0,0.0,22.833333,73.318332
DJ,2020-02-02,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.25,19.444444,28.694444,0.0,20.888889,68.841281
DJ,2020-02-03,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.611111,20.0,29.0,0.0,23.277778,81.968872
DJ,2020-02-04,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.388889,21.0,30.0,0.0,22.555556,70.707781
DJ,2020-02-05,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.305556,20.444444,31.194444,0.0,21.055556,65.36951
DJ,2020-02-06,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.277778,22.0,30.0,0.0,22.888889,76.987286
DJ,2020-02-07,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.277778,24.0,29.0,0.0,23.222222,78.555538
DJ,2020-02-08,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.166667,22.0,30.0,0.0,22.555556,71.628053
DJ,2020-02-09,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.5,25.0,29.0,0.0,22.0,71.995321
DJ,2020-02-10,ChIJAfb5NGfUIhYRiFsP76e7chQ,Q977,country/DJI,DJ,Djibouti,DJ,DJI,0,0,0,,0,0,,,,,,,,988002,518993,469009,215011,758549,568804,42.623,0.476,197110,179320,177328,162416,120922,78077,44334,22330,6165,3318716359,3408,192801,11.8,42.433333,23200,21411,149,66.582,13.1,5.1,49.8,232.137,178.345,159.0,19.6,70.330894,18.640654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.722222,22.0,30.0,0.0,23.777778,74.66994
