location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
MT,2020-01-01,ChIJxUeGHShFDhMROUK-NmHYgvU,Q233,country/MLT,MT,Malta,MT,MLT,0,0,0,,0,0,,,,,,,,493559,251836,241723,26751,475902,1548.3,0.839,46307,43517,75568,81203,65167,58962,59304,42685,20846,14606972200,30090,0.701,365307,35.883333,14.5,320,30,293,82.5,25.5,8.3,6.1,63.699,35.056,20.2,10.8,9.4833,2.8598,2585.563965,898.581482,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,9.994444,5.622222,14.583333,1.651,,3.616667,65.439804
MT,2020-01-02,ChIJxUeGHShFDhMROUK-NmHYgvU,Q233,country/MLT,MT,Malta,MT,MLT,0,0,0,,0,0,,,,,,,,493559,251836,241723,26751,475902,1548.3,0.839,46307,43517,75568,81203,65167,58962,59304,42685,20846,14606972200,30090,0.701,365307,35.883333,14.5,320,30,293,82.5,25.5,8.3,6.1,63.699,35.056,20.2,10.8,9.4833,2.8598,2585.563965,898.581482,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,10.588889,6.283333,15.522222,0.0,,5.066667,69.337903
MT,2020-01-03,ChIJxUeGHShFDhMROUK-NmHYgvU,Q233,country/MLT,MT,Malta,MT,MLT,0,0,0,,0,0,,,,,,,,493559,251836,241723,26751,475902,1548.3,0.839,46307,43517,75568,81203,65167,58962,59304,42685,20846,14606972200,30090,0.701,365307,35.883333,14.5,320,30,293,82.5,25.5,8.3,6.1,63.699,35.056,20.2,10.8,9.4833,2.8598,2585.563965,898.581482,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,10.183333,5.761111,15.311111,0.0,,5.1,71.219744
MT,2020-01-04,ChIJxUeGHShFDhMROUK-NmHYgvU,Q233,country/MLT,MT,Malta,MT,MLT,0,0,0,,0,0,,,,,,,,493559,251836,241723,26751,475902,1548.3,0.839,46307,43517,75568,81203,65167,58962,59304,42685,20846,14606972200,30090,0.701,365307,35.883333,14.5,320,30,293,82.5,25.5,8.3,6.1,63.699,35.056,20.2,10.8,9.4833,2.8598,2585.563965,898.581482,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,11.133333,6.538889,15.561111,0.0,,6.244444,72.448537
MT,2020-01-05,ChIJxUeGHShFDhMROUK-NmHYgvU,Q233,country/MLT,MT,Malta,MT,MLT,0,0,0,,0,0,,,,,,,,493559,251836,241723,26751,475902,1548.3,0.839,46307,43517,75568,81203,65167,58962,59304,42685,20846,14606972200,30090,0.701,365307,35.883333,14.5,320,30,293,82.5,25.5,8.3,6.1,63.699,35.056,20.2,10.8,9.4833,2.8598,2585.563965,898.581482,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,12.461111,8.355556,16.305556,0.0254,,4.794444,59.734477
MT,2020-01-06,ChIJxUeGHShFDhMROUK-NmHYgvU,Q233,country/MLT,MT,Malta,MT,MLT,0,0,0,,0,0,,,,,,,,493559,251836,241723,26751,475902,1548.3,0.839,46307,43517,75568,81203,65167,58962,59304,42685,20846,14606972200,30090,0.701,365307,35.883333,14.5,320,30,293,82.5,25.5,8.3,6.1,63.699,35.056,20.2,10.8,9.4833,2.8598,2585.563965,898.581482,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,9.105556,5.133333,12.555556,0.0,,-1.816667,46.789026
MT,2020-01-07,ChIJxUeGHShFDhMROUK-NmHYgvU,Q233,country/MLT,MT,Malta,MT,MLT,0,0,0,,0,0,,,,,,,,493559,251836,241723,26751,475902,1548.3,0.839,46307,43517,75568,81203,65167,58962,59304,42685,20846,14606972200,30090,0.701,365307,35.883333,14.5,320,30,293,82.5,25.5,8.3,6.1,63.699,35.056,20.2,10.8,9.4833,2.8598,2585.563965,898.581482,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,8.805556,4.083333,13.838889,0.0,,1.866667,62.562184
MT,2020-01-08,ChIJxUeGHShFDhMROUK-NmHYgvU,Q233,country/MLT,MT,Malta,MT,MLT,0,0,0,,0,0,,,,,,,,493559,251836,241723,26751,475902,1548.3,0.839,46307,43517,75568,81203,65167,58962,59304,42685,20846,14606972200,30090,0.701,365307,35.883333,14.5,320,30,293,82.5,25.5,8.3,6.1,63.699,35.056,20.2,10.8,9.4833,2.8598,2585.563965,898.581482,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,9.691358,6.283951,13.401235,0.0,,5.709877,77.085027
MT,2020-01-09,ChIJxUeGHShFDhMROUK-NmHYgvU,Q233,country/MLT,MT,Malta,MT,MLT,0,0,0,,0,0,,,,,,,,493559,251836,241723,26751,475902,1548.3,0.839,46307,43517,75568,81203,65167,58962,59304,42685,20846,14606972200,30090,0.701,365307,35.883333,14.5,320,30,293,82.5,25.5,8.3,6.1,63.699,35.056,20.2,10.8,9.4833,2.8598,2585.563965,898.581482,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,10.238889,6.544444,14.522222,0.0508,,5.411111,72.634064
MT,2020-01-10,ChIJxUeGHShFDhMROUK-NmHYgvU,Q233,country/MLT,MT,Malta,MT,MLT,0,0,0,,0,0,,,,,,,,493559,251836,241723,26751,475902,1548.3,0.839,46307,43517,75568,81203,65167,58962,59304,42685,20846,14606972200,30090,0.701,365307,35.883333,14.5,320,30,293,82.5,25.5,8.3,6.1,63.699,35.056,20.2,10.8,9.4833,2.8598,2585.563965,898.581482,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,10.205556,6.066667,15.194444,0.0,,5.166667,71.68733
MT,2020-01-11,ChIJxUeGHShFDhMROUK-NmHYgvU,Q233,country/MLT,MT,Malta,MT,MLT,0,0,0,,0,0,,,,,,,,493559,251836,241723,26751,475902,1548.3,0.839,46307,43517,75568,81203,65167,58962,59304,42685,20846,14606972200,30090,0.701,365307,35.883333,14.5,320,30,293,82.5,25.5,8.3,6.1,63.699,35.056,20.2,10.8,9.4833,2.8598,2585.563965,898.581482,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,10.432099,7.265432,14.345679,0.0,,6.654321,78.040109
MT,2020-01-12,ChIJxUeGHShFDhMROUK-NmHYgvU,Q233,country/MLT,MT,Malta,MT,MLT,0,0,0,,0,0,,,,,,,,493559,251836,241723,26751,475902,1548.3,0.839,46307,43517,75568,81203,65167,58962,59304,42685,20846,14606972200,30090,0.701,365307,35.883333,14.5,320,30,293,82.5,25.5,8.3,6.1,63.699,35.056,20.2,10.8,9.4833,2.8598,2585.563965,898.581482,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,10.753086,7.432099,13.814815,0.818444,,8.012346,83.618119
MT,2020-01-13,ChIJxUeGHShFDhMROUK-NmHYgvU,Q233,country/MLT,MT,Malta,MT,MLT,0,0,0,,0,0,,,,,,,,493559,251836,241723,26751,475902,1548.3,0.839,46307,43517,75568,81203,65167,58962,59304,42685,20846,14606972200,30090,0.701,365307,35.883333,14.5,320,30,293,82.5,25.5,8.3,6.1,63.699,35.056,20.2,10.8,9.4833,2.8598,2585.563965,898.581482,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,11.91358,9.388889,14.197531,1.5875,,8.506173,80.394591
MT,2020-01-14,ChIJxUeGHShFDhMROUK-NmHYgvU,Q233,country/MLT,MT,Malta,MT,MLT,0,0,0,,0,0,,,,,,,,493559,251836,241723,26751,475902,1548.3,0.839,46307,43517,75568,81203,65167,58962,59304,42685,20846,14606972200,30090,0.701,365307,35.883333,14.5,320,30,293,82.5,25.5,8.3,6.1,63.699,35.056,20.2,10.8,9.4833,2.8598,2585.563965,898.581482,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,11.761111,8.4,15.172222,0.0508,,8.555556,81.239075
MT,2020-01-15,ChIJxUeGHShFDhMROUK-NmHYgvU,Q233,country/MLT,MT,Malta,MT,MLT,0,0,0,,0,0,,,,,,,,493559,251836,241723,26751,475902,1548.3,0.839,46307,43517,75568,81203,65167,58962,59304,42685,20846,14606972200,30090,0.701,365307,35.883333,14.5,320,30,293,82.5,25.5,8.3,6.1,63.699,35.056,20.2,10.8,9.4833,2.8598,2585.563965,898.581482,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,11.203704,7.598765,15.191358,0.169333,,7.783951,79.948086
