location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,life_expectancy,diabetes_prevalence,adult_male_mortality_rate,adult_female_mortality_rate,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
CW,2020-01-11,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,26.694444,23.5,30.37037,4.1656,21.148148,71.847452
CW,2020-01-12,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,27.212963,23.37963,30.537037,0.254,21.333333,70.635251
CW,2020-01-13,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,26.777778,23.018519,30.962963,1.778,20.972222,71.16917
CW,2020-01-14,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,26.805556,22.416667,30.638889,2.243667,20.055556,67.481363
CW,2020-01-15,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,25.722222,21.638889,30.527778,1.814286,20.069444,71.335791
CW,2020-01-16,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,26.430556,22.923611,30.354167,0.0,21.333333,73.996995
CW,2020-01-17,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,26.743056,23.347222,29.833333,2.69875,21.416667,73.022362
CW,2020-01-18,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,25.854167,21.986111,30.506944,0.580571,21.097222,75.339187
CW,2020-01-19,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,25.972222,21.645833,31.493056,0.15875,20.3125,71.242078
CW,2020-01-20,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,26.842593,24.018519,30.5,0.0,21.555556,72.968395
CW,2020-01-21,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,27.398148,24.5,30.87963,0.0508,21.805556,72.122808
CW,2020-01-22,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,27.231481,24.342593,30.12037,0.0,21.87963,73.003632
CW,2020-01-23,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,26.633333,23.555556,31.011111,0.0,21.866667,75.279346
CW,2020-01-24,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,26.659722,21.402778,31.625,0.0,19.5,66.003007
CW,2020-01-25,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,25.791667,19.784722,32.25,0.0,19.201389,67.880492
CW,2020-01-26,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,25.979167,20.625,32.326389,0.41275,19.965278,70.262104
CW,2020-01-27,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,26.548611,21.770833,32.145833,0.0,20.333333,69.275068
CW,2020-01-28,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,26.625,21.486111,32.118056,0.0,20.236111,68.64141
CW,2020-01-29,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,26.402778,20.708333,32.5,0.0,19.388889,66.014813
CW,2020-01-30,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,26.215278,20.673611,32.631944,0.0,18.930556,65.079208
CW,2020-01-31,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,26.215278,22.131944,31.173611,0.0,20.75,72.279259
CW,2020-02-01,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,28.715278,25.479167,32.305556,0.0,20.31746,64.622985
CW,2020-02-02,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,27.3125,22.145833,33.145833,0.0,19.916667,64.873474
CW,2020-02-03,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,26.604167,21.923611,31.958333,0.0,19.708333,66.546239
CW,2020-02-04,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,25.875,21.5625,31.395833,0.0,19.277778,67.468781
CW,2020-02-05,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,25.5625,20.6875,32.243056,0.127,17.979167,63.5217
CW,2020-02-06,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,26.201389,21.673611,31.861111,0.0,18.75,64.157052
CW,2020-02-07,ChIJx_3HYr6dhI4RI0fG2yiSf_w,Q25279,country/CUW,CW,Curaçao,CW,CUW,0,0,0,,0,0,,,,,,,,164100,75469,88631,17175,140363,369.595,0.89,19331,21574,19538,18723,20281,24426,20705,13005,6517,3127908044,19573,2867318,12.166667,-68.966667,39,444,78.017073,11.6,130.145,63.365,26.298611,21.513889,31.694444,0.0,18.583333,63.274156
