location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
BS,2020-01-01,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,BS,BHS,0,0,0,,0,0,,,,,,,,393248,191093,202155,65698,323784,39.286,0.807,53654,63795,66568,55457,56496,49222,29430,13645,4981,12827000000,32933,547469,25.0,-77.4,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.583333,19.25,25.787037,0.084667,19.518519,80.024434
BS,2020-01-02,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,BS,BHS,0,0,0,,0,0,,,,,,,,393248,191093,202155,65698,323784,39.286,0.807,53654,63795,66568,55457,56496,49222,29430,13645,4981,12827000000,32933,547469,25.0,-77.4,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.62963,20.537037,26.287037,0.0,19.407407,76.554495
BS,2020-01-03,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,BS,BHS,0,0,0,,0,0,,,,,,,,393248,191093,202155,65698,323784,39.286,0.807,53654,63795,66568,55457,56496,49222,29430,13645,4981,12827000000,32933,547469,25.0,-77.4,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.12963,23.314815,27.111111,0.0,21.925926,81.93369
BS,2020-01-04,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,BS,BHS,0,0,0,,0,0,,,,,,,,393248,191093,202155,65698,323784,39.286,0.807,53654,63795,66568,55457,56496,49222,29430,13645,4981,12827000000,32933,547469,25.0,-77.4,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.324074,23.212963,28.046296,0.084667,22.518519,84.816034
BS,2020-01-05,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,BS,BHS,0,0,0,,0,0,,,,,,,,393248,191093,202155,65698,323784,39.286,0.807,53654,63795,66568,55457,56496,49222,29430,13645,4981,12827000000,32933,547469,25.0,-77.4,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.962963,18.481481,25.055556,0.0,16.555556,70.626389
BS,2020-01-06,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,BS,BHS,0,0,0,,0,0,,,,,,,,393248,191093,202155,65698,323784,39.286,0.807,53654,63795,66568,55457,56496,49222,29430,13645,4981,12827000000,32933,547469,25.0,-77.4,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.685185,17.175926,22.175926,0.0,13.351852,61.55311
BS,2020-01-07,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,BS,BHS,0,0,0,,0,0,,,,,,,,393248,191093,202155,65698,323784,39.286,0.807,53654,63795,66568,55457,56496,49222,29430,13645,4981,12827000000,32933,547469,25.0,-77.4,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.425926,17.935185,24.055556,0.0,15.074074,66.159692
BS,2020-01-08,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,BS,BHS,0,0,0,,0,0,,,,,,,,393248,191093,202155,65698,323784,39.286,0.807,53654,63795,66568,55457,56496,49222,29430,13645,4981,12827000000,32933,547469,25.0,-77.4,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.824074,18.064815,24.175926,0.0,16.055556,67.009482
BS,2020-01-09,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,BS,BHS,0,0,0,,0,0,,,,,,,,393248,191093,202155,65698,323784,39.286,0.807,53654,63795,66568,55457,56496,49222,29430,13645,4981,12827000000,32933,547469,25.0,-77.4,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.972222,21.333333,24.342593,0.0,16.962963,67.145431
BS,2020-01-10,ChIJPQ9Isjua1ogR5XnHaoO0PhM,Q778,country/BHS,BS,Bahamas,BS,BHS,0,0,0,,0,0,,,,,,,,393248,191093,202155,65698,323784,39.286,0.807,53654,63795,66568,55457,56496,49222,29430,13645,4981,12827000000,32933,547469,25.0,-77.4,13880,12245,425,73.752,11.5,8.8,8.3,193.627,116.813,19.9,15.5,4.5669,2.0068,1771.535522,548.865479,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.75,22.62963,25.175926,0.0,20.018519,76.295244
