location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
GQ,2020-01-11,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,26.744444,22.6,30.944444,0.0,22.855556,79.579556
GQ,2020-01-12,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,27.711111,23.6,31.544444,0.0,23.5,78.081
GQ,2020-01-13,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,28.055556,24.0,31.8,0.0,23.922222,78.51749
GQ,2020-01-14,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,28.844444,24.8,32.6,0.0,24.377778,77.286352
GQ,2020-01-15,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,29.122222,25.2,32.9,0.0,24.666667,77.500151
GQ,2020-01-16,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,27.811111,24.0,30.955556,0.508,24.522222,82.747283
GQ,2020-01-17,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,25.694444,23.694444,27.75,5.5245,23.847222,89.937956
GQ,2020-01-18,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,27.388889,23.4,31.055556,0.0,23.277778,78.569982
GQ,2020-01-19,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,27.877778,23.6,31.322222,0.0,23.777778,78.631084
GQ,2020-01-20,ChIJp4euX2A6ZBARet4QLKKicMg,Q983,country/GNQ,GQ,Equatorial Guinea,GQ,GNQ,0,0,0,,1,1,,,,,,,,1402985,780380,622605,371174,984812,395403,50.017,0.591,371663,265297,286385,248981,115362,62217,34879,14721,3480,11026774945,8131,192791,1.5,10.0,28050,26800,97,58.402,6.0,62.6,334.453,294.556,177.7,22.0,0.5024,0.4017,301.150055,231.259186,28.8,24.4,31.733333,0.0,24.122222,76.234869
