location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds_per_1000,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
ID,2020-01-20,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,ID,IDN,0,0,0,,,0,0,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150.987,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,29.481481,24.148148,34.046296,0.0,23.601852,70.89367
ID,2020-01-21,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,ID,IDN,0,0,0,,,0,0,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150.987,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,29.703704,24.194444,34.416667,0.0,22.953704,67.446638
ID,2020-01-22,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,ID,IDN,0,0,0,,,0,0,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150.987,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,29.62037,23.777778,34.092593,7.9756,23.601852,70.32249
ID,2020-01-23,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,ID,IDN,0,0,0,,,0,0,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150.987,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,29.37963,24.351852,33.824074,0.0,23.37963,70.402787
ID,2020-01-24,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,ID,IDN,0,0,0,,,0,0,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150.987,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,29.351852,24.907407,34.185185,0.0,23.768519,72.160642
ID,2020-01-25,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,ID,IDN,0,0,0,,,0,0,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150.987,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,29.361111,24.898148,33.444444,0.0508,24.175926,73.927433
ID,2020-01-26,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,ID,IDN,0,0,0,,,0,0,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150.987,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,27.87037,24.648148,32.833333,11.684,24.240741,81.041904
ID,2020-01-27,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,ID,IDN,0,0,0,,,0,0,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150.987,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,29.814815,24.009259,33.731481,0.338667,24.537037,73.562434
ID,2020-01-28,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,ID,IDN,0,0,0,,,0,0,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150.987,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8.33,29.703704,24.305556,33.851852,0.846667,24.694444,74.846995
ID,2020-01-29,ChIJtwRkSdcHTCwRhfStG-dNe-M,Q252,country/IDN,ID,Indonesia,ID,IDN,0,0,0,,,0,0,,,,,,,,,273523621,137717861,135805760,119115844,151509724,10638689,36532764,150.987,0.694,47956446,46303005,43571426,41166622,37846725,29155099,17531211,7574475,2418612,1119190780752,4135,0.535,304751,-2.0,118.0,1913580,1838682,42076,71.509,39.4,6.3,21.1,177.539,125.668,112.4,26.4,1.2,2.4149,0.4269,114.971786,39.786812,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13.89,29.314815,24.259259,34.055556,3.81,24.203704,74.429158
