location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,population,openstreetmap_id,latitude,longitude,area_sq_km
TF,2020-01-12,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-13,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-14,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-15,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-16,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-17,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-18,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-19,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-20,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-21,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-22,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-23,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-24,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-25,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-26,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-27,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-28,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-29,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-30,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-01-31,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-01,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-02,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-03,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-04,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-05,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-06,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-07,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-08,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-09,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-10,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-11,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-12,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-13,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-14,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-15,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-16,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-17,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-18,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-19,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-20,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-21,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-22,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-23,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-24,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-25,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-26,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-27,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-28,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-02-29,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-01,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-02,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-03,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-04,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-05,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-06,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-07,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-08,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-09,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-10,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-11,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-12,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-13,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-14,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
TF,2020-03-15,ChIJN8QJBD7EFLMRKdDmkEwhirg,Q129003,country/ATF,TF,French Southern Territories,TF,ATF,0,196,2186658,-43.0,67.0,7829
