location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
VC,2020-01-12,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,VC,VCT,0,0,0,,0,0,,,,,,,,110947,56218,54729,52404,58185,284.479,0.723,15947,17428,17502,15711,14484,13590,9176,4503,2606,825385185,7463,550725,12.9,-61.233333,390,322,111,72.415,11.6,14.8,206.879,125.132,47.6,23.2,7.0145,320.593292,99.984779,26.402778,23.340278,29.9375,13.04925,21.555556,74.791207
VC,2020-01-13,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,VC,VCT,0,0,0,,0,0,,,,,,,,110947,56218,54729,52404,58185,284.479,0.723,15947,17428,17502,15711,14484,13590,9176,4503,2606,825385185,7463,550725,12.9,-61.233333,390,322,111,72.415,11.6,14.8,206.879,125.132,47.6,23.2,7.0145,320.593292,99.984779,26.243056,23.138889,29.541667,6.5405,20.965278,72.814099
VC,2020-01-14,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,VC,VCT,0,0,0,,0,0,,,,,,,,110947,56218,54729,52404,58185,284.479,0.723,15947,17428,17502,15711,14484,13590,9176,4503,2606,825385185,7463,550725,12.9,-61.233333,390,322,111,72.415,11.6,14.8,206.879,125.132,47.6,23.2,7.0145,320.593292,99.984779,26.375,23.006944,29.75,4.15925,21.527778,74.798521
VC,2020-01-15,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,VC,VCT,0,0,0,,0,0,,,,,,,,110947,56218,54729,52404,58185,284.479,0.723,15947,17428,17502,15711,14484,13590,9176,4503,2606,825385185,7463,550725,12.9,-61.233333,390,322,111,72.415,11.6,14.8,206.879,125.132,47.6,23.2,7.0145,320.593292,99.984779,26.645833,24.166667,29.951389,2.2225,21.729167,74.818779
VC,2020-01-16,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,VC,VCT,0,0,0,,0,0,,,,,,,,110947,56218,54729,52404,58185,284.479,0.723,15947,17428,17502,15711,14484,13590,9176,4503,2606,825385185,7463,550725,12.9,-61.233333,390,322,111,72.415,11.6,14.8,206.879,125.132,47.6,23.2,7.0145,320.593292,99.984779,27.055556,23.826389,30.118056,2.95275,21.361111,71.263433
VC,2020-01-17,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,VC,VCT,0,0,0,,0,0,,,,,,,,110947,56218,54729,52404,58185,284.479,0.723,15947,17428,17502,15711,14484,13590,9176,4503,2606,825385185,7463,550725,12.9,-61.233333,390,322,111,72.415,11.6,14.8,206.879,125.132,47.6,23.2,7.0145,320.593292,99.984779,26.743056,24.027778,30.402778,0.4445,21.854167,74.727235
VC,2020-01-18,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,VC,VCT,0,0,0,,0,0,,,,,,,,110947,56218,54729,52404,58185,284.479,0.723,15947,17428,17502,15711,14484,13590,9176,4503,2606,825385185,7463,550725,12.9,-61.233333,390,322,111,72.415,11.6,14.8,206.879,125.132,47.6,23.2,7.0145,320.593292,99.984779,26.173611,23.071429,30.590278,1.378857,22.270833,79.278823
VC,2020-01-19,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,VC,VCT,0,0,0,,0,0,,,,,,,,110947,56218,54729,52404,58185,284.479,0.723,15947,17428,17502,15711,14484,13590,9176,4503,2606,825385185,7463,550725,12.9,-61.233333,390,322,111,72.415,11.6,14.8,206.879,125.132,47.6,23.2,7.0145,320.593292,99.984779,26.763889,23.340278,30.229167,1.8415,20.444444,68.864447
VC,2020-01-20,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,VC,VCT,0,0,0,,0,0,,,,,,,,110947,56218,54729,52404,58185,284.479,0.723,15947,17428,17502,15711,14484,13590,9176,4503,2606,825385185,7463,550725,12.9,-61.233333,390,322,111,72.415,11.6,14.8,206.879,125.132,47.6,23.2,7.0145,320.593292,99.984779,26.576389,23.347222,30.041667,2.00025,21.479167,73.867905
VC,2020-01-21,ChIJuzU5nuKsQIwRsaHSjejT_TE,Q757,country/VCT,VC,Saint Vincent and the Grenadines,VC,VCT,0,0,0,,0,0,,,,,,,,110947,56218,54729,52404,58185,284.479,0.723,15947,17428,17502,15711,14484,13590,9176,4503,2606,825385185,7463,550725,12.9,-61.233333,390,322,111,72.415,11.6,14.8,206.879,125.132,47.6,23.2,7.0145,320.593292,99.984779,26.534722,22.888889,30.138889,1.741714,21.423611,73.787172
