location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,openstreetmap_id,latitude,longitude,area_sq_km
PN,2020-02-28,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-02-29,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-01,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-02,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-03,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-04,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-05,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-06,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-07,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-08,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-09,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-10,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-11,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-12,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-13,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-14,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-15,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-16,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-17,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-18,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-19,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-20,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-21,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-22,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-23,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-24,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-25,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-26,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-27,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-28,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-29,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-30,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-03-31,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-01,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-02,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-03,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-04,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-05,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-06,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-07,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-08,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-09,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-10,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-11,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-12,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-13,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-14,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-15,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-16,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-17,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-18,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-19,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-20,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-21,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-22,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-23,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-24,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-25,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-26,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
PN,2020-04-27,ChIJiweo3H8POJ4RyJoVGceMnEY,Q35672,country/PCN,PN,Pitcairn Islands,PN,PCN,0,0,0,0,0,,,,,,,50,2185375,-25.067781,-130.104578,47
