location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
CK,2020-01-18,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,CK,COK,0,0,0,0,0,,,,,,,17564,9281,8768,73.183,2343,2596,2608,1747,2276,2977,1899,1105,499,2184233,-21.233333,-159.783333,240,27.444444,24.388889,29.5,0.0,25.666667,90.052583
CK,2020-01-19,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,CK,COK,0,0,0,0,0,,,,,,,17564,9281,8768,73.183,2343,2596,2608,1747,2276,2977,1899,1105,499,2184233,-21.233333,-159.783333,240,26.944444,25.0,28.111111,3.048,25.5,91.819872
CK,2020-01-20,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,CK,COK,0,0,0,0,0,,,,,,,17564,9281,8768,73.183,2343,2596,2608,1747,2276,2977,1899,1105,499,2184233,-21.233333,-159.783333,240,26.777778,25.0,29.0,2.794,24.722222,88.525862
CK,2020-01-21,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,CK,COK,0,0,0,0,0,,,,,,,17564,9281,8768,73.183,2343,2596,2608,1747,2276,2977,1899,1105,499,2184233,-21.233333,-159.783333,240,25.833333,23.0,29.111111,28.956,24.333333,91.449951
CK,2020-01-22,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,CK,COK,0,0,0,0,0,,,,,,,17564,9281,8768,73.183,2343,2596,2608,1747,2276,2977,1899,1105,499,2184233,-21.233333,-159.783333,240,25.666667,24.5,27.0,0.0,24.444444,92.9748
CK,2020-01-23,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,CK,COK,0,0,0,0,0,,,,,,,17564,9281,8768,73.183,2343,2596,2608,1747,2276,2977,1899,1105,499,2184233,-21.233333,-159.783333,240,26.666667,23.0,29.222222,7.112,24.833333,89.700001
CK,2020-01-24,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,CK,COK,0,0,0,0,0,,,,,,,17564,9281,8768,73.183,2343,2596,2608,1747,2276,2977,1899,1105,499,2184233,-21.233333,-159.783333,240,26.833333,25.0,29.0,8.89,25.166667,90.607438
CK,2020-01-25,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,CK,COK,0,0,0,0,0,,,,,,,17564,9281,8768,73.183,2343,2596,2608,1747,2276,2977,1899,1105,499,2184233,-21.233333,-159.783333,240,27.666667,26.611111,32.222222,0.0,25.555556,88.30519
CK,2020-01-26,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,CK,COK,0,0,0,0,0,,,,,,,17564,9281,8768,73.183,2343,2596,2608,1747,2276,2977,1899,1105,499,2184233,-21.233333,-159.783333,240,27.222222,25.0,29.722222,2.032,25.055556,87.977191
CK,2020-01-27,ChIJ3d57ue-KVHER2LQIiA6lTAI,Q26988,country/COK,CK,Cook Islands,CK,COK,0,0,0,0,0,,,,,,,17564,9281,8768,73.183,2343,2596,2608,1747,2276,2977,1899,1105,499,2184233,-21.233333,-159.783333,240,25.388889,23.888889,26.111111,18.034,24.166667,92.960745
