location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
SY,2020-01-01,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.805556,4.962963,12.333333,1.8796,,5.898148,82.393861
SY,2020-01-02,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.785714,6.198413,9.436508,9.059333,,5.984127,88.657874
SY,2020-01-03,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.301587,6.746032,10.373016,5.757333,10.16,6.515873,88.61561
SY,2020-01-04,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.777778,5.428571,9.833333,6.942667,,6.087302,89.128322
SY,2020-01-05,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.125,5.791667,11.381944,6.053667,10.16,4.833333,80.297257
SY,2020-01-06,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.537037,4.925926,9.694444,2.6924,,4.888889,84.054529
SY,2020-01-07,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.412698,6.31746,12.484127,0.635,,5.97619,79.455776
SY,2020-01-08,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.309524,6.761905,10.222222,9.228667,,6.388889,87.856421
SY,2020-01-09,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.52381,4.753968,11.404762,4.100286,,4.849206,77.943394
SY,2020-01-10,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.074074,3.648148,12.481481,0.084667,,1.157407,63.163779
SY,2020-01-11,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.122222,2.444444,13.344444,0.0,,-1.166667,53.117687
SY,2020-01-12,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.009259,3.953704,13.675926,0.0,,4.12963,67.294448
SY,2020-01-13,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.148148,5.148148,14.638889,3.344333,,1.787037,57.642883
SY,2020-01-14,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.465278,3.069444,14.4375,0.0,,0.409722,58.722424
SY,2020-01-15,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.625,2.0625,12.958333,0.0,,-0.722222,57.03329
SY,2020-01-16,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.685185,2.962963,12.222222,0.1524,,-0.064815,55.781056
SY,2020-01-17,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.833333,4.753968,8.055556,1.227667,,3.583333,81.172234
SY,2020-01-18,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.861111,4.548611,10.784722,1.608667,,3.909722,76.661499
SY,2020-01-19,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.006944,4.75,8.625,3.664857,,4.9375,86.824483
SY,2020-01-20,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,6.690476,4.111111,9.531746,8.599714,10.16,4.849206,88.176944
SY,2020-01-21,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.972222,3.361111,12.055556,0.9652,,1.083333,63.465295
SY,2020-01-22,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.819444,2.993056,12.777778,0.0,,-2.166667,50.581891
SY,2020-01-23,ChIJp8Y8QdzmGBURIPYqiPRGdYc,Q858,country/SYR,SY,Syria,SY,SYR,0,0,0,0,0,,,,,,,,17500657,8760065,8740592,7712116,9358019,2353637,5502085,95.304,0.536,3635903,3325125,3099983,2907193,1928901,1285346,822365,355547,140294,184840,35.216667,38.583333,185180,173463,11955,71.779,13.5,14.0,237.292,73.258,75.2,21.8,1.5406,1.2874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.527778,1.194444,13.62963,0.127,,1.268519,61.271254
