location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
MU,2020-01-11,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.597222,12.347222,29.486111,0.169333,21.916667,81.683379
MU,2020-01-12,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.958333,18.722222,29.875,6.2865,22.444444,81.124401
MU,2020-01-13,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.097222,23.5,30.416667,2.8575,22.652778,81.590993
MU,2020-01-14,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.819444,24.759259,31.291667,0.508,23.388889,78.985828
MU,2020-01-15,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.138889,24.75,30.458333,0.381,23.574074,84.465821
MU,2020-01-16,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.513889,24.481481,29.805556,6.6675,23.486111,83.70268
MU,2020-01-17,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.555556,23.555556,30.361111,4.656667,23.236111,87.294076
MU,2020-01-18,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.541667,24.777778,30.666667,1.354667,23.472222,78.66143
MU,2020-01-19,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.486111,20.041667,30.055556,1.016,23.888889,82.045252
MU,2020-01-20,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.097222,18.259259,31.444444,6.011333,23.694444,80.846898
MU,2020-01-21,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.944444,14.0,28.041667,16.002,23.444444,89.953673
MU,2020-01-22,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.625,18.805556,27.319444,27.093333,23.925926,92.345838
MU,2020-01-23,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.916667,24.12963,31.097222,15.409333,24.486111,86.720761
MU,2020-01-24,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.666667,17.462963,22.972222,12.615333,24.592593,94.681447
MU,2020-01-25,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.361111,17.037037,27.861111,16.002,23.407407,87.989542
MU,2020-01-26,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.152778,22.375,28.402778,0.931333,20.972222,77.789284
MU,2020-01-27,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.388889,21.875,27.75,1.778,18.972222,72.06876
MU,2020-01-28,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.819444,19.708333,27.930556,0.0,18.611111,72.930003
MU,2020-01-29,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.541667,20.152778,28.402778,0.3175,19.319444,73.081946
MU,2020-01-30,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.375,21.708333,29.111111,0.635,20.319444,73.723888
MU,2020-01-31,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.583333,21.625,29.430556,5.7785,21.333333,77.753656
MU,2020-02-01,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.513889,23.75,29.125,1.27,21.930556,76.152631
MU,2020-02-02,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.708333,17.037037,29.888889,0.254,22.277778,85.548637
MU,2020-02-03,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.055556,17.296296,29.763889,13.0175,23.305556,84.872003
MU,2020-02-04,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.25,24.444444,28.972222,4.0005,22.236111,79.145409
MU,2020-02-05,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.027778,22.574074,29.805556,19.7485,22.027778,78.939676
MU,2020-02-06,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.666667,15.907407,29.375,12.7,21.148148,75.904052
MU,2020-02-07,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.069444,23.027778,29.569444,0.127,20.777778,72.835831
MU,2020-02-08,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.541667,22.5,29.555556,1.185333,20.263889,72.701898
MU,2020-02-09,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.236111,22.092593,28.763889,1.185333,20.166667,73.606373
MU,2020-02-10,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.041667,17.416667,28.722222,1.185333,21.944444,82.780498
MU,2020-02-11,ChIJyXRE-U1QfCERMdBrEcLZA0I,Q1027,country/MUS,MU,Mauritius,MU,MUS,0,0,0,3,1,,,,,,,,1271767,627480,644287,749731,515980,626.486,0.79,132886,175164,196809,175108,182090,175349,137990,69213,27158,14180444557,11203,0.626,535828,-20.2,57.5,2040,727,1276,74.416341,21.6,22.0,13.6,188.405,93.506,38.3,22.6,3.5152,2.5331,599.699768,293.04718,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.347222,16.703704,29.125,14.647333,23.685185,88.027088
