location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
BW,2020-01-01,ChIJESJF0SFDpB4Re68Vhyp8ZPE,Q963,country/BWA,BW,Botswana,BW,BWA,0,0,0,,0,0,,,,,,,,2351625,1139099,1212526,687147,1616550,4.149,0.717,539005,472033,402509,365289,261015,146583,104251,48558,12382,18340510789,7961,0.424,1889339,-22.2,23.7,581730,69.275,20.0,5.8,30.0,249.384,161.962,101.3,20.3,5.403,0.5269,465.929321,13.946393,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,26.541667,22.791667,31.305556,0.169333,20.574074,66.616086
BW,2020-01-02,ChIJESJF0SFDpB4Re68Vhyp8ZPE,Q963,country/BWA,BW,Botswana,BW,BWA,0,3,1,,3,1,,,,,,,,2351625,1139099,1212526,687147,1616550,4.149,0.717,539005,472033,402509,365289,261015,146583,104251,48558,12382,18340510789,7961,0.424,1889339,-22.2,23.7,581730,69.275,20.0,5.8,30.0,249.384,161.962,101.3,20.3,5.403,0.5269,465.929321,13.946393,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,26.333333,20.0,32.833333,29.337,19.925926,68.816305
BW,2020-01-03,ChIJESJF0SFDpB4Re68Vhyp8ZPE,Q963,country/BWA,BW,Botswana,BW,BWA,0,0,0,,3,1,,,,,,,,2351625,1139099,1212526,687147,1616550,4.149,0.717,539005,472033,402509,365289,261015,146583,104251,48558,12382,18340510789,7961,0.424,1889339,-22.2,23.7,581730,69.275,20.0,5.8,30.0,249.384,161.962,101.3,20.3,5.403,0.5269,465.929321,13.946393,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,29.388889,22.518519,34.925926,1.100667,18.074074,50.726348
BW,2020-01-04,ChIJESJF0SFDpB4Re68Vhyp8ZPE,Q963,country/BWA,BW,Botswana,BW,BWA,0,0,0,,3,1,,,,,,,,2351625,1139099,1212526,687147,1616550,4.149,0.717,539005,472033,402509,365289,261015,146583,104251,48558,12382,18340510789,7961,0.424,1889339,-22.2,23.7,581730,69.275,20.0,5.8,30.0,249.384,161.962,101.3,20.3,5.403,0.5269,465.929321,13.946393,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,27.930556,21.625,33.472222,0.9525,18.458333,56.870768
BW,2020-01-05,ChIJESJF0SFDpB4Re68Vhyp8ZPE,Q963,country/BWA,BW,Botswana,BW,BWA,0,0,0,,3,1,,,,,,,,2351625,1139099,1212526,687147,1616550,4.149,0.717,539005,472033,402509,365289,261015,146583,104251,48558,12382,18340510789,7961,0.424,1889339,-22.2,23.7,581730,69.275,20.0,5.8,30.0,249.384,161.962,101.3,20.3,5.403,0.5269,465.929321,13.946393,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,28.666667,21.555556,34.592593,0.169333,17.759259,52.339293
BW,2020-01-06,ChIJESJF0SFDpB4Re68Vhyp8ZPE,Q963,country/BWA,BW,Botswana,BW,BWA,0,0,0,,3,1,,,,,,,,2351625,1139099,1212526,687147,1616550,4.149,0.717,539005,472033,402509,365289,261015,146583,104251,48558,12382,18340510789,7961,0.424,1889339,-22.2,23.7,581730,69.275,20.0,5.8,30.0,249.384,161.962,101.3,20.3,5.403,0.5269,465.929321,13.946393,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,25.62963,21.87037,32.074074,0.0,19.305556,66.223899
BW,2020-01-07,ChIJESJF0SFDpB4Re68Vhyp8ZPE,Q963,country/BWA,BW,Botswana,BW,BWA,0,0,0,,3,1,,,,,,,,2351625,1139099,1212526,687147,1616550,4.149,0.717,539005,472033,402509,365289,261015,146583,104251,48558,12382,18340510789,7961,0.424,1889339,-22.2,23.7,581730,69.275,20.0,5.8,30.0,249.384,161.962,101.3,20.3,5.403,0.5269,465.929321,13.946393,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,25.777778,21.75,30.0,0.0,20.166667,71.464886
BW,2020-01-08,ChIJESJF0SFDpB4Re68Vhyp8ZPE,Q963,country/BWA,BW,Botswana,BW,BWA,0,0,0,,3,1,,,,,,,,2351625,1139099,1212526,687147,1616550,4.149,0.717,539005,472033,402509,365289,261015,146583,104251,48558,12382,18340510789,7961,0.424,1889339,-22.2,23.7,581730,69.275,20.0,5.8,30.0,249.384,161.962,101.3,20.3,5.403,0.5269,465.929321,13.946393,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,25.537037,20.833333,30.592593,6.688667,21.222222,77.177112
BW,2020-01-09,ChIJESJF0SFDpB4Re68Vhyp8ZPE,Q963,country/BWA,BW,Botswana,BW,BWA,0,0,0,,3,1,,,,,,,,2351625,1139099,1212526,687147,1616550,4.149,0.717,539005,472033,402509,365289,261015,146583,104251,48558,12382,18340510789,7961,0.424,1889339,-22.2,23.7,581730,69.275,20.0,5.8,30.0,249.384,161.962,101.3,20.3,5.403,0.5269,465.929321,13.946393,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,26.351852,21.87037,31.425926,7.281333,21.166667,73.304246
BW,2020-01-10,ChIJESJF0SFDpB4Re68Vhyp8ZPE,Q963,country/BWA,BW,Botswana,BW,BWA,0,0,0,,3,1,,,,,,,,2351625,1139099,1212526,687147,1616550,4.149,0.717,539005,472033,402509,365289,261015,146583,104251,48558,12382,18340510789,7961,0.424,1889339,-22.2,23.7,581730,69.275,20.0,5.8,30.0,249.384,161.962,101.3,20.3,5.403,0.5269,465.929321,13.946393,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,26.185185,21.314815,32.222222,5.969,19.222222,66.894855
BW,2020-01-11,ChIJESJF0SFDpB4Re68Vhyp8ZPE,Q963,country/BWA,BW,Botswana,BW,BWA,0,0,0,,3,1,,,,,,,,2351625,1139099,1212526,687147,1616550,4.149,0.717,539005,472033,402509,365289,261015,146583,104251,48558,12382,18340510789,7961,0.424,1889339,-22.2,23.7,581730,69.275,20.0,5.8,30.0,249.384,161.962,101.3,20.3,5.403,0.5269,465.929321,13.946393,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,24.083333,21.0,31.194444,0.0,20.333333,80.129228
BW,2020-01-12,ChIJESJF0SFDpB4Re68Vhyp8ZPE,Q963,country/BWA,BW,Botswana,BW,BWA,0,0,0,,3,1,,,,,,,,2351625,1139099,1212526,687147,1616550,4.149,0.717,539005,472033,402509,365289,261015,146583,104251,48558,12382,18340510789,7961,0.424,1889339,-22.2,23.7,581730,69.275,20.0,5.8,30.0,249.384,161.962,101.3,20.3,5.403,0.5269,465.929321,13.946393,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,26.0,20.694444,30.5,0.0,20.055556,70.68288
BW,2020-01-13,ChIJESJF0SFDpB4Re68Vhyp8ZPE,Q963,country/BWA,BW,Botswana,BW,BWA,0,0,0,,3,1,,,,,,,,2351625,1139099,1212526,687147,1616550,4.149,0.717,539005,472033,402509,365289,261015,146583,104251,48558,12382,18340510789,7961,0.424,1889339,-22.2,23.7,581730,69.275,20.0,5.8,30.0,249.384,161.962,101.3,20.3,5.403,0.5269,465.929321,13.946393,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,26.944444,21.583333,31.875,0.0,19.194444,62.649249
BW,2020-01-14,ChIJESJF0SFDpB4Re68Vhyp8ZPE,Q963,country/BWA,BW,Botswana,BW,BWA,0,0,0,,3,1,,,,,,,,2351625,1139099,1212526,687147,1616550,4.149,0.717,539005,472033,402509,365289,261015,146583,104251,48558,12382,18340510789,7961,0.424,1889339,-22.2,23.7,581730,69.275,20.0,5.8,30.0,249.384,161.962,101.3,20.3,5.403,0.5269,465.929321,13.946393,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,26.944444,19.822222,32.088889,0.8636,18.5,60.275271
BW,2020-01-15,ChIJESJF0SFDpB4Re68Vhyp8ZPE,Q963,country/BWA,BW,Botswana,BW,BWA,0,0,0,,3,1,,,,,,,,2351625,1139099,1212526,687147,1616550,4.149,0.717,539005,472033,402509,365289,261015,146583,104251,48558,12382,18340510789,7961,0.424,1889339,-22.2,23.7,581730,69.275,20.0,5.8,30.0,249.384,161.962,101.3,20.3,5.403,0.5269,465.929321,13.946393,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.56,27.111111,20.25,31.194444,0.0,18.361111,58.917186
