location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds_per_1000,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
AF,2020-01-01,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.027778,0.444444,9.555556,0.0,,-4.083333,55.903534
AF,2020-01-02,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.194444,-0.805556,6.194444,1.143,,-1.25,78.143671
AF,2020-01-03,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.916667,-2.75,7.0,4.953,,-1.416667,79.131404
AF,2020-01-04,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.888889,-2.166667,5.277778,6.096,,-2.111111,74.746707
AF,2020-01-05,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.5,-0.75,2.944444,2.413,,-0.833333,84.431231
AF,2020-01-06,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.5,3.777778,7.388889,14.478,,3.166667,84.930397
AF,2020-01-07,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,5.166667,0.222222,9.777778,0.0,,2.0,80.009269
AF,2020-01-08,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,4.166667,0.0,9.777778,0.0,,-0.833333,69.92761
AF,2020-01-09,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-5.888889,-9.0,1.0,0.0,,-13.166667,57.710062
AF,2020-01-10,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.972222,-10.861111,3.722222,0.0,,-13.527778,41.92844
AF,2020-01-11,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.388889,-0.083333,5.222222,5.334,,-3.0,67.716566
AF,2020-01-12,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.638889,-4.0,4.444444,14.224,,-2.361111,80.452613
AF,2020-01-13,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-4.5,-7.027778,-1.416667,18.542,,-7.194444,81.438354
AF,2020-01-14,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-6.194444,-10.444444,-1.944444,0.0,,-10.777778,70.314267
AF,2020-01-15,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-6.916667,-12.111111,-2.111111,0.0,,-11.5,69.872459
AF,2020-01-16,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.5,-0.388889,5.888889,0.0,,-2.0,72.202703
AF,2020-01-17,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,3.055556,-0.111111,7.888889,0.0,,-2.5,66.897007
AF,2020-01-18,ChIJbQL_-LZu0TgReNqWvg1GtfM,Q889,country/AFG,AF,Afghanistan,AF,AFG,0,0,0,0,0,,,,,,,,38928341,19976265,18952076,28244481,9797273,4114030,4114030,59.627,0.498,11088732,9821559,7035871,4534646,2963459,1840198,1057496,480455,105925,19101353832,502,0.389,303427,33.0,66.0,652860,64.486,9.2,47.9,237.554,192.532,211.1,29.8,0.5,0.1755,0.2782,67.12265,50.665913,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.166667,-2.5,6.0,0.0,,-6.444444,56.877233
