location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,public_information_campaigns,testing_policy,contact_tracing,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
GD,2020-01-21,ChIJ0XuH9IkXOIwRjk8fWgHH2DY,Q769,country/GRD,GD,Grenada,GD,GRD,0,0,0,,0,0,,,,,,,,112519,56666,55853,71238,40765,330.938,0.772,18131,16137,18289,18210,12871,12145,9576,4788,2372,1228170370,10965,550727,12.116667,-61.666667,340,153,169,72.384,10.7,13.7,179.054,117.738,45.3,21.4,6.2837,1.4067,497.236053,260.620514,,,,,,,,,,,,,,,,,,26.472222,23.215278,30.326389,1.741714,21.986111,76.522821
GD,2020-01-22,ChIJ0XuH9IkXOIwRjk8fWgHH2DY,Q769,country/GRD,GD,Grenada,GD,GRD,0,0,0,,0,0,,,,,,,,112519,56666,55853,71238,40765,330.938,0.772,18131,16137,18289,18210,12871,12145,9576,4788,2372,1228170370,10965,550727,12.116667,-61.666667,340,153,169,72.384,10.7,13.7,179.054,117.738,45.3,21.4,6.2837,1.4067,497.236053,260.620514,,,,,,,,,,,,,,,,,,25.479167,22.763889,29.173611,7.910286,22.201389,82.364364
GD,2020-01-23,ChIJ0XuH9IkXOIwRjk8fWgHH2DY,Q769,country/GRD,GD,Grenada,GD,GRD,0,0,0,,0,0,,,,,,,,112519,56666,55853,71238,40765,330.938,0.772,18131,16137,18289,18210,12871,12145,9576,4788,2372,1228170370,10965,550727,12.116667,-61.666667,340,153,169,72.384,10.7,13.7,179.054,117.738,45.3,21.4,6.2837,1.4067,497.236053,260.620514,,,,,,,,,,,,,,,,,,26.277778,23.013889,29.451389,5.87375,22.236111,78.600758
GD,2020-01-24,ChIJ0XuH9IkXOIwRjk8fWgHH2DY,Q769,country/GRD,GD,Grenada,GD,GRD,0,0,0,,0,0,,,,,,,,112519,56666,55853,71238,40765,330.938,0.772,18131,16137,18289,18210,12871,12145,9576,4788,2372,1228170370,10965,550727,12.116667,-61.666667,340,153,169,72.384,10.7,13.7,179.054,117.738,45.3,21.4,6.2837,1.4067,497.236053,260.620514,,,,,,,,,,,,,,,,,,26.62963,22.598765,30.679012,1.100667,21.962963,75.995207
GD,2020-01-25,ChIJ0XuH9IkXOIwRjk8fWgHH2DY,Q769,country/GRD,GD,Grenada,GD,GRD,0,0,0,,0,0,,,,,,,,112519,56666,55853,71238,40765,330.938,0.772,18131,16137,18289,18210,12871,12145,9576,4788,2372,1228170370,10965,550727,12.116667,-61.666667,340,153,169,72.384,10.7,13.7,179.054,117.738,45.3,21.4,6.2837,1.4067,497.236053,260.620514,,,,,,,,,,,,,,,,,,26.41358,22.283951,30.716049,0.66675,22.611111,79.705263
GD,2020-01-26,ChIJ0XuH9IkXOIwRjk8fWgHH2DY,Q769,country/GRD,GD,Grenada,GD,GRD,0,0,0,,0,0,,,,,,,,112519,56666,55853,71238,40765,330.938,0.772,18131,16137,18289,18210,12871,12145,9576,4788,2372,1228170370,10965,550727,12.116667,-61.666667,340,153,169,72.384,10.7,13.7,179.054,117.738,45.3,21.4,6.2837,1.4067,497.236053,260.620514,,,,,,,,,,,,,,,,,,26.333333,21.67284,30.685185,0.225778,21.703704,75.773305
GD,2020-01-27,ChIJ0XuH9IkXOIwRjk8fWgHH2DY,Q769,country/GRD,GD,Grenada,GD,GRD,0,0,0,,0,0,,,,,,,,112519,56666,55853,71238,40765,330.938,0.772,18131,16137,18289,18210,12871,12145,9576,4788,2372,1228170370,10965,550727,12.116667,-61.666667,340,153,169,72.384,10.7,13.7,179.054,117.738,45.3,21.4,6.2837,1.4067,497.236053,260.620514,,,,,,,,,,,,,,,,,,25.87037,20.783951,30.54321,0.028222,21.209877,75.594965
GD,2020-01-28,ChIJ0XuH9IkXOIwRjk8fWgHH2DY,Q769,country/GRD,GD,Grenada,GD,GRD,0,0,0,,0,0,,,,,,,,112519,56666,55853,71238,40765,330.938,0.772,18131,16137,18289,18210,12871,12145,9576,4788,2372,1228170370,10965,550727,12.116667,-61.666667,340,153,169,72.384,10.7,13.7,179.054,117.738,45.3,21.4,6.2837,1.4067,497.236053,260.620514,,,,,,,,,,,,,,,,,,26.734568,21.975309,31.709877,0.0,22.302469,76.737391
GD,2020-01-29,ChIJ0XuH9IkXOIwRjk8fWgHH2DY,Q769,country/GRD,GD,Grenada,GD,GRD,0,0,0,,0,0,,,,,,,,112519,56666,55853,71238,40765,330.938,0.772,18131,16137,18289,18210,12871,12145,9576,4788,2372,1228170370,10965,550727,12.116667,-61.666667,340,153,169,72.384,10.7,13.7,179.054,117.738,45.3,21.4,6.2837,1.4067,497.236053,260.620514,,,,,,,,,,,,,,,,,,26.462963,23.020833,31.450617,0.536222,23.104167,78.918175
GD,2020-01-30,ChIJ0XuH9IkXOIwRjk8fWgHH2DY,Q769,country/GRD,GD,Grenada,GD,GRD,0,0,0,,0,0,,,,,,,,112519,56666,55853,71238,40765,330.938,0.772,18131,16137,18289,18210,12871,12145,9576,4788,2372,1228170370,10965,550727,12.116667,-61.666667,340,153,169,72.384,10.7,13.7,179.054,117.738,45.3,21.4,6.2837,1.4067,497.236053,260.620514,,,,,,,,,,,,,,,,,,26.95679,23.462963,31.04321,0.381,22.635802,77.331093
