location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
GY,2020-01-11,ChIJs8LYYK_vr40RQETltmeI40g,Q734,country/GUY,GY,Guyana,GY,GUY,0,0,0,0,0,,,,,,,,786559,395549,391010,573854,208912,3.996,0.654,147628,145351,145306,93109,90525,79337,51356,22940,11007,4280443645,5468,0.495,287083,5.733333,-59.316667,214970,207343,626,69.774,11.6,25.1,268.873,182.082,107.8,30.5,1.0398,0.8023,230.527283,74.853691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.027778,23.805556,29.805556,0.889,22.611111,81.700203
GY,2020-01-12,ChIJs8LYYK_vr40RQETltmeI40g,Q734,country/GUY,GY,Guyana,GY,GUY,0,0,0,0,0,,,,,,,,786559,395549,391010,573854,208912,3.996,0.654,147628,145351,145306,93109,90525,79337,51356,22940,11007,4280443645,5468,0.495,287083,5.733333,-59.316667,214970,207343,626,69.774,11.6,25.1,268.873,182.082,107.8,30.5,1.0398,0.8023,230.527283,74.853691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.981481,23.407407,29.962963,1.27,22.759259,77.766544
GY,2020-01-13,ChIJs8LYYK_vr40RQETltmeI40g,Q734,country/GUY,GY,Guyana,GY,GUY,0,0,0,0,0,,,,,,,,786559,395549,391010,573854,208912,3.996,0.654,147628,145351,145306,93109,90525,79337,51356,22940,11007,4280443645,5468,0.495,287083,5.733333,-59.316667,214970,207343,626,69.774,11.6,25.1,268.873,182.082,107.8,30.5,1.0398,0.8023,230.527283,74.853691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.472222,23.055556,30.611111,1.143,22.111111,77.146587
GY,2020-01-14,ChIJs8LYYK_vr40RQETltmeI40g,Q734,country/GUY,GY,Guyana,GY,GUY,0,0,0,0,0,,,,,,,,786559,395549,391010,573854,208912,3.996,0.654,147628,145351,145306,93109,90525,79337,51356,22940,11007,4280443645,5468,0.495,287083,5.733333,-59.316667,214970,207343,626,69.774,11.6,25.1,268.873,182.082,107.8,30.5,1.0398,0.8023,230.527283,74.853691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.097222,23.25,29.652778,15.155333,24.055556,88.686303
GY,2020-01-15,ChIJs8LYYK_vr40RQETltmeI40g,Q734,country/GUY,GY,Guyana,GY,GUY,0,0,0,0,0,,,,,,,,786559,395549,391010,573854,208912,3.996,0.654,147628,145351,145306,93109,90525,79337,51356,22940,11007,4280443645,5468,0.495,287083,5.733333,-59.316667,214970,207343,626,69.774,11.6,25.1,268.873,182.082,107.8,30.5,1.0398,0.8023,230.527283,74.853691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.259259,23.833333,29.62963,7.535333,24.259259,83.825503
GY,2020-01-16,ChIJs8LYYK_vr40RQETltmeI40g,Q734,country/GUY,GY,Guyana,GY,GUY,0,0,0,0,0,,,,,,,,786559,395549,391010,573854,208912,3.996,0.654,147628,145351,145306,93109,90525,79337,51356,22940,11007,4280443645,5468,0.495,287083,5.733333,-59.316667,214970,207343,626,69.774,11.6,25.1,268.873,182.082,107.8,30.5,1.0398,0.8023,230.527283,74.853691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.033333,24.1,30.811111,0.762,23.677778,77.368889
GY,2020-01-17,ChIJs8LYYK_vr40RQETltmeI40g,Q734,country/GUY,GY,Guyana,GY,GUY,0,0,0,0,0,,,,,,,,786559,395549,391010,573854,208912,3.996,0.654,147628,145351,145306,93109,90525,79337,51356,22940,11007,4280443645,5468,0.495,287083,5.733333,-59.316667,214970,207343,626,69.774,11.6,25.1,268.873,182.082,107.8,30.5,1.0398,0.8023,230.527283,74.853691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.277778,23.944444,31.0,0.0,23.805556,81.491489
GY,2020-01-18,ChIJs8LYYK_vr40RQETltmeI40g,Q734,country/GUY,GY,Guyana,GY,GUY,0,0,0,0,0,,,,,,,,786559,395549,391010,573854,208912,3.996,0.654,147628,145351,145306,93109,90525,79337,51356,22940,11007,4280443645,5468,0.495,287083,5.733333,-59.316667,214970,207343,626,69.774,11.6,25.1,268.873,182.082,107.8,30.5,1.0398,0.8023,230.527283,74.853691,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,27.037037,23.888889,31.074074,0.423333,23.777778,82.483675
GY,2020-01-19,ChIJs8LYYK_vr40RQETltmeI40g,Q734,country/GUY,GY,Guyana,GY,GUY,0,0,0,0,0,,,,,,,,786559,395549,391010,573854,208912,3.996,0.654,147628,145351,145306,93109,90525,79337,51356,22940,11007,4280443645,5468,0.495,287083,5.733333,-59.316667,214970,207343,626,69.774,11.6,25.1,268.873,182.082,107.8,30.5,1.0398,0.8023,230.527283,74.853691,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,27.222222,23.805556,31.361111,0.0,23.277778,79.267584
GY,2020-01-20,ChIJs8LYYK_vr40RQETltmeI40g,Q734,country/GUY,GY,Guyana,GY,GUY,0,0,0,0,0,,,,,,,,786559,395549,391010,573854,208912,3.996,0.654,147628,145351,145306,93109,90525,79337,51356,22940,11007,4280443645,5468,0.495,287083,5.733333,-59.316667,214970,207343,626,69.774,11.6,25.1,268.873,182.082,107.8,30.5,1.0398,0.8023,230.527283,74.853691,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,27.027778,24.5,30.0,0.0,23.472222,80.934208
