location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
UG,2020-01-11,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.722222,20.0,28.0,0.0,18.388889,76.554552
UG,2020-01-12,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.0,17.902778,26.666667,21.505333,16.708333,68.37828
UG,2020-01-13,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.458333,16.597222,26.680556,0.0,15.138889,67.395463
UG,2020-01-14,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.148148,16.5,29.888889,1.354667,14.018519,53.553552
UG,2020-01-15,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.611111,20.0,29.0,0.0,20.444444,77.639953
UG,2020-01-16,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.655556,18.688889,30.422222,0.0,17.611111,58.819042
UG,2020-01-17,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.555556,17.407407,29.666667,0.677333,18.5,62.385395
UG,2020-01-18,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.888889,20.847222,29.833333,0.762,18.736111,64.961364
UG,2020-01-19,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.333333,21.0,29.0,0.0,18.055556,68.030915
UG,2020-01-20,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,25.138889,16.194444,29.805556,0.0,15.888889,57.127826
UG,2020-01-21,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,25.722222,15.87037,30.87037,0.0,14.481481,50.331599
UG,2020-01-22,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,23.888889,19.0,29.0,0.0,15.833333,60.691496
UG,2020-01-23,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,22.944444,19.0,29.0,0.0,14.055556,57.303668
UG,2020-01-24,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,24.481481,17.611111,29.12963,0.0,14.222222,53.350499
UG,2020-01-25,ChIJRfmZZJ-mcRcRSUUBQ85VQYc,Q1036,country/UGA,UG,Uganda,UG,UGA,0,0,0,,1,1,,,,,,,,45741000,22546589,23194411,33485078,10784516,3137690,3137690,228.922,0.516,14855952,11449424,7872675,5101100,3133404,1852435,974325,411998,89687,34387229486,776,0.382,192796,1.28,32.39,241550,62.973,10.0,2.5,33.8,302.371,233.267,155.7,21.9,1.2382,0.168,38.426441,15.013752,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,24.333333,19.0,29.0,0.0,17.777778,66.852535
