location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,population,population_male,population_female,population_rural,population_urban,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
MP,2020-01-11,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.888889,24.902778,28.902778,0.0,23.694444,82.78095
MP,2020-01-12,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.458333,24.097222,29.152778,1.778,22.833333,80.52287
MP,2020-01-13,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.375,23.819444,28.25,0.423333,21.569444,75.055361
MP,2020-01-14,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.583333,24.069444,28.25,0.127,19.722222,66.32852
MP,2020-01-15,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.541667,24.75,28.652778,0.0,21.069444,72.009897
MP,2020-01-16,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.611111,24.25,29.152778,0.0635,21.236111,72.461349
MP,2020-01-17,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.194444,23.847222,28.652778,0.0,22.097222,78.253957
MP,2020-01-18,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,25.805556,23.222222,28.5,0.508,22.486111,82.025156
MP,2020-01-19,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.069444,23.972222,28.652778,0.762,22.597222,81.275977
MP,2020-01-20,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.652778,24.097222,28.402778,0.0,22.097222,76.19709
MP,2020-01-21,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,25.902778,24.5,28.25,1.016,21.833333,78.631127
MP,2020-01-22,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.041667,24.25,27.847222,0.508,21.736111,77.484398
MP,2020-01-23,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.513889,24.597222,28.652778,0.0,21.680556,74.825751
MP,2020-01-24,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.458333,23.972222,29.152778,0.1905,21.236111,73.060646
MP,2020-01-25,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.277778,23.972222,28.75,0.846667,21.583333,75.49818
MP,2020-01-26,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.680556,25.027778,29.0,0.254,21.513889,73.494947
MP,2020-01-27,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,27.083333,25.152778,29.152778,0.0,22.458333,75.889692
MP,2020-01-28,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,27.513889,25.777778,29.777778,0.0,23.097222,76.926367
MP,2020-01-29,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,27.222222,24.902778,29.777778,0.0,22.75,76.645573
MP,2020-01-30,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,27.611111,25.402778,29.652778,0.0,23.25,77.269645
MP,2020-01-31,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,27.819444,25.25,30.902778,0.127,24.041667,80.04122
MP,2020-02-01,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,25.402778,23.347222,27.472222,24.384,22.944444,86.414554
MP,2020-02-02,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,24.138889,23.069444,25.680556,5.08,22.569444,91.0546
MP,2020-02-03,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.027778,24.472222,27.722222,0.762,22.861111,82.775544
MP,2020-02-04,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,27.138889,25.652778,29.0,0.381,23.819444,82.10949
MP,2020-02-05,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,27.375,24.75,29.277778,0.127,23.125,77.654587
MP,2020-02-06,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,27.513889,25.0,30.25,0.127,22.833333,75.701068
MP,2020-02-07,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.875,24.902778,29.152778,0.0,23.055556,79.651797
MP,2020-02-08,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.916667,24.25,29.0,0.0,22.388889,76.325117
MP,2020-02-09,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.333333,24.097222,29.097222,0.508,22.875,81.339009
MP,2020-02-10,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.333333,24.097222,29.152778,0.381,21.680556,75.637943
MP,2020-02-11,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,25.583333,23.222222,27.597222,0.0,18.861111,66.654329
MP,2020-02-12,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,25.305556,23.319444,27.472222,0.0,17.708333,63.107245
MP,2020-02-13,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,25.930556,24.069444,27.972222,0.0635,18.722222,64.66269
MP,2020-02-14,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.083333,23.069444,28.097222,0.0,18.986111,65.401538
MP,2020-02-15,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.402778,24.319444,28.25,0.0635,19.805556,67.341509
MP,2020-02-16,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.597222,23.972222,29.152778,0.0,20.263889,68.283355
MP,2020-02-17,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.75,23.972222,29.152778,0.127,20.430556,68.371161
MP,2020-02-18,ChIJUVyZkDSx2GYRMg46fKvrt50,Q16644,country/MNP,MP,Northern Mariana Islands,MP,MNP,0,0,0,,0,0,,57557,22286,19704,4744,52472,125.124,6179,8143,5702,3331,5887,7098,4189,1195,266,1323000000,23258,306004,16.705,145.78,460,379,108,26.277778,24.25,28.25,0.0,20.819444,72.027577
