location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
MG,2020-01-11,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.916667,19.861111,30.75,0.0,14.166667,65.430583
MG,2020-01-12,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.166667,21.203704,30.444444,0.0,18.0,73.838739
MG,2020-01-13,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.388889,19.574074,30.074074,7.450667,18.666667,81.435988
MG,2020-01-14,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.481481,19.0,29.87037,11.091333,17.777778,75.129117
MG,2020-01-15,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.759259,19.5,30.407407,2.624667,18.777778,79.160398
MG,2020-01-16,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.814815,20.833333,30.240741,6.688667,19.611111,84.075995
MG,2020-01-17,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.722222,20.703704,30.166667,7.704667,19.111111,81.318788
MG,2020-01-18,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.462963,21.407407,30.5,1.693333,20.111111,84.647951
MG,2020-01-19,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.703704,21.166667,29.185185,18.034,20.611111,87.298537
MG,2020-01-20,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.0,21.666667,28.425926,16.933333,20.333333,88.470431
MG,2020-01-21,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.314815,19.888889,28.296296,23.622,18.694444,93.315538
MG,2020-01-22,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.537037,19.148148,25.240741,11.684,17.416667,93.254599
MG,2020-01-23,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.259259,19.203704,25.537037,10.668,18.25,95.250977
MG,2020-01-24,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.851852,20.074074,28.574074,7.704667,18.583333,85.454759
MG,2020-01-25,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.074074,20.425926,28.203704,0.0,17.388889,84.938138
MG,2020-01-26,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.685185,19.0,27.462963,2.370667,16.527778,79.603354
MG,2020-01-27,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.296296,18.962963,29.333333,0.338667,17.916667,83.907048
MG,2020-01-28,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.87037,20.185185,31.314815,7.704667,19.25,80.787556
MG,2020-01-29,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.166667,20.777778,32.166667,3.302,20.111111,81.187218
MG,2020-01-30,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.87037,20.296296,30.333333,3.302,19.277778,79.326498
MG,2020-01-31,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.277778,19.537037,29.814815,1.354667,17.555556,77.190642
MG,2020-02-01,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.388889,18.425926,28.796296,3.640667,16.75,77.896859
MG,2020-02-02,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.333333,18.666667,29.0,0.084667,17.166667,83.639081
MG,2020-02-03,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.925926,18.5,29.166667,0.508,17.083333,79.183385
MG,2020-02-04,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.759259,19.166667,28.666667,0.169333,18.555556,88.358049
MG,2020-02-05,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.037037,18.740741,29.259259,4.656667,17.75,79.307379
MG,2020-02-06,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.592593,19.666667,29.537037,0.338667,17.388889,75.691448
MG,2020-02-07,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.648148,19.333333,30.833333,0.0,17.472222,70.006208
MG,2020-02-08,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.814815,18.333333,30.925926,0.084667,16.805556,71.377594
MG,2020-02-09,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.018519,20.12963,31.12963,0.0,17.666667,76.506531
MG,2020-02-10,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.166667,20.62963,31.037037,0.0,16.444444,69.122075
MG,2020-02-11,ChIJRYUj6uOk0SERiBN7l8HjRFI,Q1019,country/MDG,MG,Madagascar,MG,MDG,0,0,0,,1,1,,,,,,,,27691019,13814619,13876400,16758458,10210849,3210386,3210386,47.596,0.519,7762937,6342928,4898736,3370908,2387858,1539765,915208,359863,112816,14083906356,522,0.374,447325,-20.0,47.0,587295,587832,2272,66.681,4.5,38.2,232.545,181.739,159.6,22.9,0.146,24.670837,6.090098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.296296,18.981481,30.833333,0.0,15.527778,67.763687
