location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds_per_1000,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
JO,2020-01-11,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.708333,4.958333,14.388889,0.762,,4.194444,74.63816
JO,2020-01-12,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.433333,5.688889,16.0,0.0,,4.527778,72.021984
JO,2020-01-13,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.677778,9.077778,16.766667,0.0508,,6.236111,72.669747
JO,2020-01-14,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.0,6.844444,17.344444,0.2032,,5.166667,67.421173
JO,2020-01-15,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.788889,9.544444,19.266667,0.0,,2.833333,51.86397
JO,2020-01-16,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,14.2,8.422222,20.266667,0.0,,-0.347222,38.869216
JO,2020-01-17,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.3,9.977778,17.555556,0.254,,3.680556,57.599884
JO,2020-01-18,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,12.5,10.755556,14.744444,3.7084,,8.569444,83.216623
JO,2020-01-19,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,13.1,10.355556,17.133333,0.8636,,6.472222,71.599621
JO,2020-01-20,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,11.988889,9.277778,15.311111,2.0828,,5.722222,74.733298
JO,2020-01-21,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,9.266667,7.3,11.966667,6.5024,,3.819444,76.441864
JO,2020-01-22,ChIJmd5kZkdvABURmU4mUQdbKI0,Q810,country/JOR,JO,Jordan,JO,JOR,0,0,0,,0,0,,,,,,,,10203140,5165979,5037161,888646,9213048,2108509,2108509,114.926,0.735,2212563,2179853,1802536,1490608,1141345,755591,366278,190751,63615,43743661971,4330,0.562,184818,31.2,36.5,89320,86229,3383,74.405,12.7,13.9,123.898,89.001,51.2,19.2,1.4,2.8212,2.3237,340.661804,103.654625,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,8.125,5.041667,13.055556,0.635,,3.944444,76.008325
