location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,elevation_m,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
LC,2020-01-11,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,25.131944,21.368056,28.729167,3.8735,21.722222,75.187111
LC,2020-01-12,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,24.958333,21.458333,29.055556,14.2875,21.674603,75.041809
LC,2020-01-13,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.027778,23.103175,29.076389,7.493,20.888889,73.403532
LC,2020-01-14,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,25.284722,20.583333,28.972222,7.493,21.595238,74.829411
LC,2020-01-15,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,25.756944,21.520833,29.388889,2.06375,21.5,72.221541
LC,2020-01-16,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.659722,23.048611,29.701389,0.508,20.930556,71.053843
LC,2020-01-17,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.506944,23.785714,29.986111,0.85725,21.645833,74.831534
LC,2020-01-18,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,25.513889,23.0,29.75,1.124857,22.125,81.801256
LC,2020-01-19,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.75,23.048611,29.590278,5.334,20.013889,66.908896
LC,2020-01-20,ChIJHaMt8WVgQIwR9Z056MSGdG4,Q760,country/LCA,LC,Saint Lucia,LC,LCA,0,0,0,,0,0,,,,,,,,183629,90422,93207,148510,34280,301.031,0.747,21812,24335,32816,28447,25517,23375,14555,8357,4415,2122450629,11611,550728,13.883333,-60.966667,330,620,263,351,76.057,11.6,14.9,174.722,97.187,30.0,18.8,3.1547,0.6409,460.068817,205.89505,26.430556,22.777778,29.763889,0.1905,20.798611,71.298761
