location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
KG,2020-01-11,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.746914,-6.5,3.487654,1.100667,36.406667,-7.277778,66.990358
KG,2020-01-12,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.771605,-5.308642,2.104938,1.415143,44.45,-4.919753,79.605898
KG,2020-01-13,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-3.722222,-5.648148,-1.790123,1.862667,27.305,-5.0,91.213086
KG,2020-01-14,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-4.833333,-8.148148,-1.802469,5.207,23.706667,-6.598765,87.652349
KG,2020-01-15,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-5.450617,-9.524691,-1.648148,1.651,57.785,-8.709877,78.041149
KG,2020-01-16,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-5.833333,-10.518519,-2.925926,2.4765,50.292,-8.740741,80.395688
KG,2020-01-17,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-7.311111,-12.761111,-0.827778,0.9906,37.465,-11.1,75.038766
KG,2020-01-18,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-8.766667,-13.622222,-2.277778,0.0,52.324,-12.838889,73.125301
KG,2020-01-19,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-6.740741,-15.018519,0.641975,1.100667,55.245,-12.092593,67.154094
KG,2020-01-20,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-5.358025,-10.67284,0.166667,1.100667,42.545,-10.209877,69.59395
KG,2020-01-21,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-6.234568,-10.604938,-1.62963,1.100667,40.005,-9.820988,76.492424
KG,2020-01-22,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,-5.311111,-9.405556,-2.277778,2.4765,40.005,-8.155556,80.873917
KG,2020-01-23,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,-5.822222,-10.838889,-0.888889,0.9906,20.32,-9.2,77.772975
KG,2020-01-24,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,-3.294444,-10.022222,1.177778,1.9812,10.16,-7.766667,73.314826
KG,2020-01-25,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,-2.261111,-5.933333,2.155556,1.651,10.16,-4.944444,82.434861
KG,2020-01-26,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,-4.796296,-9.216049,-0.209877,3.4925,40.005,-7.41358,82.730344
KG,2020-01-27,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.78,-4.604938,-10.271605,1.283951,0.0,55.245,-8.401235,75.660737
KG,2020-01-28,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,11.11,-4.727778,-9.127778,0.45,0.381,57.785,-8.383333,76.677937
KG,2020-01-29,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,11.11,-6.438889,-10.972222,-0.488889,0.0,64.77,-10.45,74.361308
KG,2020-01-30,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,11.11,-6.771605,-12.17284,0.030864,0.0,64.77,-11.654321,69.74681
KG,2020-01-31,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,11.11,-6.240741,-11.993827,0.395062,0.0,64.77,-11.283951,68.83816
KG,2020-02-01,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13.89,-3.697531,-11.592593,4.580247,0.0,64.77,-11.41358,57.749873
KG,2020-02-02,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13.89,-1.808642,-8.938272,5.32716,0.0,64.77,-10.154321,55.767545
KG,2020-02-03,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13.89,-1.166667,-6.376543,4.987654,0.0,59.69,-8.240741,60.506669
KG,2020-02-04,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13.89,-2.188889,-5.872222,1.422222,0.0,59.69,-5.666667,78.912717
KG,2020-02-05,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,13.89,-1.677778,-7.594444,3.916667,0.0,59.69,-7.144444,67.929185
KG,2020-02-06,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,13.89,-1.308642,-7.135802,5.160494,0.0,59.69,-7.401235,64.734772
KG,2020-02-07,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,13.89,-1.314815,-7.993827,6.364198,0.0,10.16,-8.240741,61.731257
KG,2020-02-08,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,13.89,1.233333,-6.561111,9.811111,0.0,54.61,-8.183333,52.447903
KG,2020-02-09,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,13.89,3.32716,-5.061728,11.962963,0.0,54.61,-6.753086,49.805208
KG,2020-02-10,ChIJ8yfp_B04lzgRM8SITrdYECg,Q813,country/KGZ,KG,Kyrgyzstan,KG,KGZ,0,0,0,0,0,,,,,,,6524191,3227270,3296921,4094256,2362644,1017166,34.016,0.672,1529450,1100701,1082940,1014705,686435,581435,363824,111214,53487,8454619607,1309,0.58,178009,41.0,75.0,199950,71.4,26.5,6.1,16.9,210.663,94.014,110.7,24.9,78.822838,44.43766,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,0,0,13.89,2.771605,-3.179012,9.691358,1.016,54.61,-3.037037,67.974408
