location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
CG,2020-01-11,ChIJCROj3WOlYBoRj2z8FM96AVU,Q971,country/COG,CG,Republic of the Congo,CG,COG,0,0,0,1,1,,,,,,,,5518092,2756678,2761414,1755498,3625010,2308076,3483589,16.158,0.606,1592335,1257964,874261,680079,535814,327892,164737,69397,15613,10820591130,2011,0.42,192794,-0.75,15.383331,342000,338427,1087,64.29,26.9,6.0,36.2,279.572,240.201,130.7,16.7,0.6271,49.983723,24.192739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.537037,20.166667,30.5,2.032,20.972222,80.585709
CG,2020-01-12,ChIJCROj3WOlYBoRj2z8FM96AVU,Q971,country/COG,CG,Republic of the Congo,CG,COG,0,0,0,1,1,,,,,,,,5518092,2756678,2761414,1755498,3625010,2308076,3483589,16.158,0.606,1592335,1257964,874261,680079,535814,327892,164737,69397,15613,10820591130,2011,0.42,192794,-0.75,15.383331,342000,338427,1087,64.29,26.9,6.0,36.2,279.572,240.201,130.7,16.7,0.6271,49.983723,24.192739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.472222,21.490741,32.5,0.0,21.972222,72.148446
CG,2020-01-13,ChIJCROj3WOlYBoRj2z8FM96AVU,Q971,country/COG,CG,Republic of the Congo,CG,COG,0,0,0,1,1,,,,,,,,5518092,2756678,2761414,1755498,3625010,2308076,3483589,16.158,0.606,1592335,1257964,874261,680079,535814,327892,164737,69397,15613,10820591130,2011,0.42,192794,-0.75,15.383331,342000,338427,1087,64.29,26.9,6.0,36.2,279.572,240.201,130.7,16.7,0.6271,49.983723,24.192739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.361111,21.37963,33.824074,0.0,21.907407,68.310734
CG,2020-01-14,ChIJCROj3WOlYBoRj2z8FM96AVU,Q971,country/COG,CG,Republic of the Congo,CG,COG,0,0,0,1,1,,,,,,,,5518092,2756678,2761414,1755498,3625010,2308076,3483589,16.158,0.606,1592335,1257964,874261,680079,535814,327892,164737,69397,15613,10820591130,2011,0.42,192794,-0.75,15.383331,342000,338427,1087,64.29,26.9,6.0,36.2,279.572,240.201,130.7,16.7,0.6271,49.983723,24.192739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.377778,21.755556,34.255556,0.0,22.277778,69.820812
CG,2020-01-15,ChIJCROj3WOlYBoRj2z8FM96AVU,Q971,country/COG,CG,Republic of the Congo,CG,COG,0,0,0,1,1,,,,,,,,5518092,2756678,2761414,1755498,3625010,2308076,3483589,16.158,0.606,1592335,1257964,874261,680079,535814,327892,164737,69397,15613,10820591130,2011,0.42,192794,-0.75,15.383331,342000,338427,1087,64.29,26.9,6.0,36.2,279.572,240.201,130.7,16.7,0.6271,49.983723,24.192739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,28.468254,22.960317,33.777778,1.632857,22.555556,70.983396
CG,2020-01-16,ChIJCROj3WOlYBoRj2z8FM96AVU,Q971,country/COG,CG,Republic of the Congo,CG,COG,0,0,0,1,1,,,,,,,,5518092,2756678,2761414,1755498,3625010,2308076,3483589,16.158,0.606,1592335,1257964,874261,680079,535814,327892,164737,69397,15613,10820591130,2011,0.42,192794,-0.75,15.383331,342000,338427,1087,64.29,26.9,6.0,36.2,279.572,240.201,130.7,16.7,0.6271,49.983723,24.192739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.574074,23.333333,30.990741,0.846667,22.601852,79.122176
CG,2020-01-17,ChIJCROj3WOlYBoRj2z8FM96AVU,Q971,country/COG,CG,Republic of the Congo,CG,COG,0,0,0,1,1,,,,,,,,5518092,2756678,2761414,1755498,3625010,2308076,3483589,16.158,0.606,1592335,1257964,874261,680079,535814,327892,164737,69397,15613,10820591130,2011,0.42,192794,-0.75,15.383331,342000,338427,1087,64.29,26.9,6.0,36.2,279.572,240.201,130.7,16.7,0.6271,49.983723,24.192739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.801587,22.730159,31.626984,1.306286,22.825397,78.91102
CG,2020-01-18,ChIJCROj3WOlYBoRj2z8FM96AVU,Q971,country/COG,CG,Republic of the Congo,CG,COG,0,0,0,1,1,,,,,,,,5518092,2756678,2761414,1755498,3625010,2308076,3483589,16.158,0.606,1592335,1257964,874261,680079,535814,327892,164737,69397,15613,10820591130,2011,0.42,192794,-0.75,15.383331,342000,338427,1087,64.29,26.9,6.0,36.2,279.572,240.201,130.7,16.7,0.6271,49.983723,24.192739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.268519,22.490741,30.805556,6.011333,22.444444,79.570559
CG,2020-01-19,ChIJCROj3WOlYBoRj2z8FM96AVU,Q971,country/COG,CG,Republic of the Congo,CG,COG,0,0,0,1,1,,,,,,,,5518092,2756678,2761414,1755498,3625010,2308076,3483589,16.158,0.606,1592335,1257964,874261,680079,535814,327892,164737,69397,15613,10820591130,2011,0.42,192794,-0.75,15.383331,342000,338427,1087,64.29,26.9,6.0,36.2,279.572,240.201,130.7,16.7,0.6271,49.983723,24.192739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.866667,22.322222,31.811111,1.016,22.322222,76.259449
CG,2020-01-20,ChIJCROj3WOlYBoRj2z8FM96AVU,Q971,country/COG,CG,Republic of the Congo,CG,COG,0,0,0,1,1,,,,,,,,5518092,2756678,2761414,1755498,3625010,2308076,3483589,16.158,0.606,1592335,1257964,874261,680079,535814,327892,164737,69397,15613,10820591130,2011,0.42,192794,-0.75,15.383331,342000,338427,1087,64.29,26.9,6.0,36.2,279.572,240.201,130.7,16.7,0.6271,49.983723,24.192739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.259259,22.37963,31.648148,5.164667,22.444444,75.483135
