location_key,date,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,population,population_male,population_female,population_rural,population_urban,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,adult_male_mortality_rate,adult_female_mortality_rate,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
VI,2020-01-13,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,26.2,24.466667,28.377778,2.173111,20.180556,69.869537
VI,2020-01-14,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,25.338889,22.9,27.638889,1.580444,20.25,74.43817
VI,2020-01-15,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,25.461111,22.494444,28.044444,2.652889,20.75,75.770048
VI,2020-01-16,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,25.677778,23.122222,28.077778,0.451556,19.930556,71.126827
VI,2020-01-17,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,25.583333,22.955556,28.55,0.0762,20.458333,74.158153
VI,2020-01-18,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,25.716667,23.333333,28.25,0.0,19.944444,70.559271
VI,2020-01-19,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,25.122222,23.188889,27.4,0.127,20.277778,75.194445
VI,2020-01-20,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,24.983333,23.077778,27.672222,1.721556,21.791667,84.026745
VI,2020-01-21,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,25.905556,24.111111,27.761111,1.7526,21.305556,76.97044
VI,2020-01-22,Q11703,country/VIR,VI,United States Virgin Islands,VI,VIR,0,0,0,,0,0,,104423,49601,54822,4444,102187,298.351,12868,14018,12731,9731,11766,14449,14021,10901,3938,3855000000,35938,286898,18.333333,-64.833333,350,63,302,79.568293,12.3,70.177,41.141,0,0,0,0,0,0,0,0,0,0,,,0,0,0,,0,0,0,0.0,26.472222,24.427778,28.283333,0.1778,21.763889,76.737887
