location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
ZM,2020-01-01,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,ZM,ZMB,0,0,0,,0,0,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24.73,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,45708,23064722446,1291,0.396,195271,-14.0,28.0,752610,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.222222,21.0,31.111111,0.0,,16.722222,55.888745
ZM,2020-01-02,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,ZM,ZMB,0,2,3,,2,3,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24.73,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,45708,23064722446,1291,0.396,195271,-14.0,28.0,752610,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.611111,20.888889,30.0,0.0,,18.111111,67.143038
ZM,2020-01-03,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,ZM,ZMB,0,0,0,,2,3,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24.73,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,45708,23064722446,1291,0.396,195271,-14.0,28.0,752610,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.944444,20.0,29.0,9.906,,19.333333,75.42944
ZM,2020-01-04,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,ZM,ZMB,0,0,0,,2,3,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24.73,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,45708,23064722446,1291,0.396,195271,-14.0,28.0,752610,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.555556,21.0,30.0,0.0,,19.277778,72.464688
ZM,2020-01-05,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,ZM,ZMB,0,0,0,,2,3,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24.73,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,45708,23064722446,1291,0.396,195271,-14.0,28.0,752610,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.388889,20.0,25.0,2.032,,18.722222,79.767048
ZM,2020-01-06,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,ZM,ZMB,0,0,0,,2,3,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24.73,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,45708,23064722446,1291,0.396,195271,-14.0,28.0,752610,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.111111,19.0,32.0,0.0,,18.333333,70.156236
ZM,2020-01-07,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,ZM,ZMB,0,0,0,,2,3,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24.73,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,45708,23064722446,1291,0.396,195271,-14.0,28.0,752610,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.111111,19.0,33.611111,10.922,,18.222222,69.668954
ZM,2020-01-08,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,ZM,ZMB,0,0,0,,2,3,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24.73,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,45708,23064722446,1291,0.396,195271,-14.0,28.0,752610,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.833333,21.0,27.0,0.0,,18.888889,73.860261
ZM,2020-01-09,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,ZM,ZMB,0,0,0,,2,3,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24.73,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,45708,23064722446,1291,0.396,195271,-14.0,28.0,752610,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.333333,20.0,29.0,,,18.888889,80.874758
ZM,2020-01-10,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,ZM,ZMB,0,0,0,,2,3,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24.73,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,45708,23064722446,1291,0.396,195271,-14.0,28.0,752610,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.666667,20.0,29.0,3.048,,19.555556,77.76754
ZM,2020-01-11,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,ZM,ZMB,0,0,0,,2,3,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24.73,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,45708,23064722446,1291,0.396,195271,-14.0,28.0,752610,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.833333,19.722222,22.277778,6.096,,19.611111,92.724178
ZM,2020-01-12,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,ZM,ZMB,0,0,0,,2,3,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24.73,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,45708,23064722446,1291,0.396,195271,-14.0,28.0,752610,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.055556,19.0,25.722222,22.098,,18.611111,80.838534
ZM,2020-01-13,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,ZM,ZMB,0,0,0,,2,3,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24.73,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,45708,23064722446,1291,0.396,195271,-14.0,28.0,752610,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.055556,20.0,25.0,0.0,,19.5,85.445834
ZM,2020-01-14,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,ZM,ZMB,0,0,0,,2,3,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24.73,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,45708,23064722446,1291,0.396,195271,-14.0,28.0,752610,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.444444,19.0,25.0,11.938,,19.055556,86.275953
ZM,2020-01-15,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,ZM,ZMB,0,0,0,,2,3,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24.73,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,45708,23064722446,1291,0.396,195271,-14.0,28.0,752610,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.944444,19.0,27.0,0.0,,19.055556,88.963564
ZM,2020-01-16,ChIJcQv8_KX0QBkRRT5Yfqz5n_E,Q953,country/ZMB,ZM,Zambia,ZM,ZMB,0,0,0,,2,3,,,,,,,,18383956,9103006,9280950,9989317,7871713,2646619,2646619,24.73,0.588,5663542,4550181,3180383,2185194,1413889,761259,403835,179965,45708,23064722446,1291,0.396,195271,-14.0,28.0,752610,63.51,13.8,4.5,40.4,321.143,221.573,127.2,17.9,1.3376,1.1867,67.648666,8.015779,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.888889,18.0,24.0,30.988,,19.555556,92.089582
