location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
NI,2020-01-11,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,NI,NIC,0,0,0,0,0,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55.049,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,76184,12520915291,1912,0.531,287666,13.0,-85.0,130370,115694,2882,74.275,11.4,15.7,200.678,102.575,55.7,14.2,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.316667,23.472222,29.988889,1.524,21.194444,70.959595
NI,2020-01-12,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,NI,NIC,0,0,0,0,0,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55.049,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,76184,12520915291,1912,0.531,287666,13.0,-85.0,130370,115694,2882,74.275,11.4,15.7,200.678,102.575,55.7,14.2,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.655556,23.827778,30.538889,1.058333,20.95,68.019496
NI,2020-01-13,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,NI,NIC,0,0,0,0,0,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55.049,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,76184,12520915291,1912,0.531,287666,13.0,-85.0,130370,115694,2882,74.275,11.4,15.7,200.678,102.575,55.7,14.2,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.955556,22.977778,30.588889,0.145143,20.388889,68.58974
NI,2020-01-14,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,NI,NIC,0,0,0,0,0,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55.049,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,76184,12520915291,1912,0.531,287666,13.0,-85.0,130370,115694,2882,74.275,11.4,15.7,200.678,102.575,55.7,14.2,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.061111,23.4,30.1,1.312333,21.088889,70.917961
NI,2020-01-15,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,NI,NIC,0,0,0,0,0,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55.049,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,76184,12520915291,1912,0.531,287666,13.0,-85.0,130370,115694,2882,74.275,11.4,15.7,200.678,102.575,55.7,14.2,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.444444,22.0,30.4,2.709333,20.15,69.378321
NI,2020-01-16,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,NI,NIC,0,0,0,0,0,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55.049,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,76184,12520915291,1912,0.531,287666,13.0,-85.0,130370,115694,2882,74.275,11.4,15.7,200.678,102.575,55.7,14.2,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.466667,22.311111,30.227778,0.0,20.894444,72.626025
NI,2020-01-17,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,NI,NIC,0,0,0,0,0,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55.049,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,76184,12520915291,1912,0.531,287666,13.0,-85.0,130370,115694,2882,74.275,11.4,15.7,200.678,102.575,55.7,14.2,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.811111,23.2,30.6,0.169333,21.844444,75.305677
NI,2020-01-18,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,NI,NIC,0,0,0,0,0,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55.049,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,76184,12520915291,1912,0.531,287666,13.0,-85.0,130370,115694,2882,74.275,11.4,15.7,200.678,102.575,55.7,14.2,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.944444,23.15,30.738889,0.79375,20.65,69.747048
NI,2020-01-19,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,NI,NIC,0,0,0,0,0,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55.049,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,76184,12520915291,1912,0.531,287666,13.0,-85.0,130370,115694,2882,74.275,11.4,15.7,200.678,102.575,55.7,14.2,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.994444,22.677778,30.738889,0.254,20.722222,69.626634
NI,2020-01-20,ChIJzSL_zgDCEI8RtRWsP-Wn-sg,Q811,country/NIC,NI,Nicaragua,NI,NIC,0,0,0,0,0,,,,,,,,6624554,3264849,3359705,2699365,3846137,1055472,1055472,55.049,0.631,1317146,1240161,1166000,1055452,763037,507320,348752,150502,76184,12520915291,1912,0.531,287666,13.0,-85.0,130370,115694,2882,74.275,11.4,15.7,200.678,102.575,55.7,14.2,1.5334,0.9775,192.083389,62.617363,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.827778,22.25,30.216667,0.03175,20.25,68.553185
