location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
BZ,2020-01-15,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,BZ,BLZ,0,0,0,,0,0,,,,,,,,397621,197761,199860,211314,179039,17.432,0.715,78106,77850,75819,59715,43958,31810,17814,8311,4238,1879613600,4815,287827,17.066667,-88.7,22970,21296,508,74.496,17.1,11.2,213.827,117.655,68.6,22.1,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.382716,21.518519,30.506173,2.794,21.969136,77.693496
BZ,2020-01-16,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,BZ,BLZ,0,0,0,,0,0,,,,,,,,397621,197761,199860,211314,179039,17.432,0.715,78106,77850,75819,59715,43958,31810,17814,8311,4238,1879613600,4815,287827,17.066667,-88.7,22970,21296,508,74.496,17.1,11.2,213.827,117.655,68.6,22.1,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.283951,21.308642,29.802469,4.499429,21.759259,81.670053
BZ,2020-01-17,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,BZ,BLZ,0,0,0,,0,0,,,,,,,,397621,197761,199860,211314,179039,17.432,0.715,78106,77850,75819,59715,43958,31810,17814,8311,4238,1879613600,4815,287827,17.066667,-88.7,22970,21296,508,74.496,17.1,11.2,213.827,117.655,68.6,22.1,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.746914,21.932099,29.876543,1.632857,22.722222,84.212841
BZ,2020-01-18,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,BZ,BLZ,0,0,0,,0,0,,,,,,,,397621,197761,199860,211314,179039,17.432,0.715,78106,77850,75819,59715,43958,31810,17814,8311,4238,1879613600,4815,287827,17.066667,-88.7,22970,21296,508,74.496,17.1,11.2,213.827,117.655,68.6,22.1,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,26.290123,22.364198,29.962963,0.6985,22.475309,80.318453
BZ,2020-01-19,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,BZ,BLZ,0,0,0,,0,0,,,,,,,,397621,197761,199860,211314,179039,17.432,0.715,78106,77850,75819,59715,43958,31810,17814,8311,4238,1879613600,4815,287827,17.066667,-88.7,22970,21296,508,74.496,17.1,11.2,213.827,117.655,68.6,22.1,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,25.734568,22.382716,29.111111,5.969,22.364198,82.169647
BZ,2020-01-20,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,BZ,BLZ,0,0,0,,0,0,,,,,,,,397621,197761,199860,211314,179039,17.432,0.715,78106,77850,75819,59715,43958,31810,17814,8311,4238,1879613600,4815,287827,17.066667,-88.7,22970,21296,508,74.496,17.1,11.2,213.827,117.655,68.6,22.1,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.555556,21.462963,29.024691,1.61925,21.487654,84.315358
BZ,2020-01-21,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,BZ,BLZ,0,0,0,,0,0,,,,,,,,397621,197761,199860,211314,179039,17.432,0.715,78106,77850,75819,59715,43958,31810,17814,8311,4238,1879613600,4815,287827,17.066667,-88.7,22970,21296,508,74.496,17.1,11.2,213.827,117.655,68.6,22.1,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.080247,20.333333,26.067901,24.492857,19.524691,81.536203
BZ,2020-01-22,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,BZ,BLZ,0,0,0,,0,0,,,,,,,,397621,197761,199860,211314,179039,17.432,0.715,78106,77850,75819,59715,43958,31810,17814,8311,4238,1879613600,4815,287827,17.066667,-88.7,22970,21296,508,74.496,17.1,11.2,213.827,117.655,68.6,22.1,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,22.253086,18.222222,26.234568,3.8735,17.364198,74.494839
BZ,2020-01-23,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,BZ,BLZ,0,0,0,,0,0,,,,,,,,397621,197761,199860,211314,179039,17.432,0.715,78106,77850,75819,59715,43958,31810,17814,8311,4238,1879613600,4815,287827,17.066667,-88.7,22970,21296,508,74.496,17.1,11.2,213.827,117.655,68.6,22.1,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,23.08642,17.345679,29.04321,0.197556,18.518519,76.371097
BZ,2020-01-24,ChIJ-foSwT5bXI8RTuMeP02KSvY,Q242,country/BLZ,BZ,Belize,BZ,BLZ,0,0,0,,0,0,,,,,,,,397621,197761,199860,211314,179039,17.432,0.715,78106,77850,75819,59715,43958,31810,17814,8311,4238,1879613600,4815,287827,17.066667,-88.7,22970,21296,508,74.496,17.1,11.2,213.827,117.655,68.6,22.1,2.3414,1.1229,280.49881,67.754105,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,24.549383,18.469136,29.697531,0.084667,20.259259,77.887441
