location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,snowfall_mm,dew_point,relative_humidity
MN,2020-01-11,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-20.055556,-24.619048,-14.666667,0.217714,42.333333,-23.404762,74.620768
MN,2020-01-12,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-21.928571,-26.547619,-14.365079,0.0,37.737143,-25.603175,72.155782
MN,2020-01-13,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-20.444444,-26.31746,-13.714286,0.0,37.737143,-25.095238,67.389904
MN,2020-01-14,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-17.380952,-25.246032,-9.492063,0.0,42.333333,-23.515873,59.854755
MN,2020-01-15,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-17.079365,-22.634921,-8.785714,0.0,42.333333,-22.761905,61.964629
MN,2020-01-16,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-17.079365,-22.809524,-9.849206,0.072571,40.64,-22.428571,64.266498
MN,2020-01-17,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-16.111111,-22.103175,-9.412698,0.0,36.285714,-22.547619,59.396186
MN,2020-01-18,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-13.888889,-21.388889,-8.84127,0.0,34.834286,-22.920635,47.697258
MN,2020-01-19,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-15.571429,-21.269841,-7.944444,0.0,38.946667,-23.690476,51.10934
MN,2020-01-20,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-13.555556,-21.896825,-5.896825,0.0,38.946667,-20.388889,56.886813
MN,2020-01-21,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,-16.269841,-21.222222,-9.039683,0.0,44.704,-21.777778,62.743718
MN,2020-01-22,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,11.11,-15.547619,-22.142857,-7.468254,0.0,42.672,-22.515873,56.074661
MN,2020-01-23,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,11.11,-16.746032,-22.984127,-8.555556,0.0,50.8,-22.896825,59.623001
MN,2020-01-24,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,1,0,11.11,-14.722222,-22.47619,-6.166667,0.0,50.8,-21.992063,55.435499
MN,2020-01-25,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,11.11,-13.396825,-20.333333,-4.349206,0.0,50.8,-21.230159,53.630976
MN,2020-01-26,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,2,0,11.11,-10.761905,-18.769841,-1.230159,0.0,48.26,-20.873016,47.044396
MN,2020-01-27,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,3,2,2,2,0,1,0,3,0,0,0,0,2,0,2,0,0,2,0,58.33,-12.738095,-18.97619,-3.428571,0.0,45.72,-21.214286,51.176602
MN,2020-01-28,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,3,2,2,2,0,1,0,3,0,0,0,0,2,1,2,0,0,2,0,58.33,-15.0,-20.674603,-6.690476,0.0,43.18,-20.873016,61.554242
MN,2020-01-29,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,3,2,2,2,0,1,0,3,0,0,0,0,2,1,2,0,0,2,0,58.33,-13.539683,-21.095238,-5.293651,0.0,43.18,-20.253968,59.249074
MN,2020-01-30,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,3,2,2,2,0,1,0,3,0,0,0,0,2,1,2,0,0,2,0,58.33,-13.071429,-20.706349,-5.404762,0.0,43.18,-20.68254,54.34902
MN,2020-01-31,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,3,2,2,2,0,1,0,3,0,0,0,0,2,1,2,0,0,2,0,58.33,-18.873016,-23.793651,-11.18254,0.108857,45.72,-26.833333,51.829614
MN,2020-02-01,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,3,2,2,2,0,1,0,3,0,0,0,0,2,1,2,0,0,2,0,58.33,-20.238095,-25.753968,-12.833333,0.0,45.72,-28.396825,49.913603
MN,2020-02-02,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,3,2,2,2,0,1,0,3,0,0,0,0,2,1,2,0,0,2,0,58.33,-16.325397,-25.825397,-9.055556,0.0,45.72,-25.444444,47.484715
MN,2020-02-03,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,3,2,2,2,0,1,0,3,0,0,0,0,2,1,2,0,0,2,0,58.33,-15.992063,-21.849206,-8.436508,0.0,45.72,-23.5,54.256718
MN,2020-02-04,ChIJS22qaQYFJzYRluDmNzkh3eA,Q711,country/MNG,MN,Mongolia,MN,MNG,0,0,0,,0,0,,,,,,,,3278292,1615039,1663253,1014541,2210626,1552654,1552654,2.11,0.741,737475,500443,500016,564280,423046,314052,158362,59889,20729,13852850259,4295,0.626,161033,47.0,104.0,1564120,69.689,25.6,4.7,14.0,288.357,123.173,155.9,30.2,3.8938,2.8592,148.784454,47.837875,,,,,,,3,2,2,2,0,1,0,3,0,0,0,0,2,1,2,0,0,2,0,58.33,-15.444444,-22.761905,-7.333333,0.0,43.18,-23.134921,53.642519
