location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,cumulative_confirmed,cumulative_deceased,population,population_male,population_female,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,openstreetmap_id,latitude,longitude,area_sq_km,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
GF,2020-01-11,ChIJU9f3hVcVEo0RRvQKD-n3J94,Q3769,country/GUF,GF,French Guiana,GF,GUF,0,0,0,0,0,298682,147750,150932,3.634,66121,57553,46109,38719,36990,26711,17226,7222,2031,1260551,3.99886,-52.99994,83534,26.444444,23.666667,30.537037,0.338667,21.694444,79.153816
GF,2020-01-12,ChIJU9f3hVcVEo0RRvQKD-n3J94,Q3769,country/GUF,GF,French Guiana,GF,GUF,0,0,0,0,0,298682,147750,150932,3.634,66121,57553,46109,38719,36990,26711,17226,7222,2031,1260551,3.99886,-52.99994,83534,27.074074,24.240741,31.12963,0.254,21.888889,77.868888
GF,2020-01-13,ChIJU9f3hVcVEo0RRvQKD-n3J94,Q3769,country/GUF,GF,French Guiana,GF,GUF,0,0,0,0,0,298682,147750,150932,3.634,66121,57553,46109,38719,36990,26711,17226,7222,2031,1260551,3.99886,-52.99994,83534,25.907407,24.0,29.62963,5.969,23.0,84.70862
GF,2020-01-14,ChIJU9f3hVcVEo0RRvQKD-n3J94,Q3769,country/GUF,GF,French Guiana,GF,GUF,0,0,0,0,0,298682,147750,150932,3.634,66121,57553,46109,38719,36990,26711,17226,7222,2031,1260551,3.99886,-52.99994,83534,25.666667,18.333333,30.333333,7.493,24.194444,84.359841
GF,2020-01-15,ChIJU9f3hVcVEo0RRvQKD-n3J94,Q3769,country/GUF,GF,French Guiana,GF,GUF,0,0,0,0,0,298682,147750,150932,3.634,66121,57553,46109,38719,36990,26711,17226,7222,2031,1260551,3.99886,-52.99994,83534,26.185185,24.444444,29.666667,9.017,24.203704,88.949435
GF,2020-01-16,ChIJU9f3hVcVEo0RRvQKD-n3J94,Q3769,country/GUF,GF,French Guiana,GF,GUF,0,0,0,0,0,298682,147750,150932,3.634,66121,57553,46109,38719,36990,26711,17226,7222,2031,1260551,3.99886,-52.99994,83534,27.0,24.62963,30.074074,2.032,24.203704,84.753573
GF,2020-01-17,ChIJU9f3hVcVEo0RRvQKD-n3J94,Q3769,country/GUF,GF,French Guiana,GF,GUF,0,0,0,0,0,298682,147750,150932,3.634,66121,57553,46109,38719,36990,26711,17226,7222,2031,1260551,3.99886,-52.99994,83534,27.444444,25.5,30.592593,5.969,23.944444,81.264046
GF,2020-01-18,ChIJU9f3hVcVEo0RRvQKD-n3J94,Q3769,country/GUF,GF,French Guiana,GF,GUF,0,0,0,0,0,298682,147750,150932,3.634,66121,57553,46109,38719,36990,26711,17226,7222,2031,1260551,3.99886,-52.99994,83534,27.574074,25.296296,30.333333,0.338667,23.87037,80.333994
GF,2020-01-19,ChIJU9f3hVcVEo0RRvQKD-n3J94,Q3769,country/GUF,GF,French Guiana,GF,GUF,0,0,0,0,0,298682,147750,150932,3.634,66121,57553,46109,38719,36990,26711,17226,7222,2031,1260551,3.99886,-52.99994,83534,27.222222,24.666667,30.166667,0.254,23.481481,80.060961
GF,2020-01-20,ChIJU9f3hVcVEo0RRvQKD-n3J94,Q3769,country/GUF,GF,French Guiana,GF,GUF,0,0,0,0,0,298682,147750,150932,3.634,66121,57553,46109,38719,36990,26711,17226,7222,2031,1260551,3.99886,-52.99994,83534,27.12963,25.333333,30.037037,0.508,23.296296,79.6366
GF,2020-01-21,ChIJU9f3hVcVEo0RRvQKD-n3J94,Q3769,country/GUF,GF,French Guiana,GF,GUF,0,0,0,0,0,298682,147750,150932,3.634,66121,57553,46109,38719,36990,26711,17226,7222,2031,1260551,3.99886,-52.99994,83534,27.166667,23.962963,30.0,1.524,22.259259,74.803674
GF,2020-01-22,ChIJU9f3hVcVEo0RRvQKD-n3J94,Q3769,country/GUF,GF,French Guiana,GF,GUF,0,0,0,0,0,298682,147750,150932,3.634,66121,57553,46109,38719,36990,26711,17226,7222,2031,1260551,3.99886,-52.99994,83534,27.074074,22.592593,31.0,0.084667,21.166667,70.578113
GF,2020-01-23,ChIJU9f3hVcVEo0RRvQKD-n3J94,Q3769,country/GUF,GF,French Guiana,GF,GUF,0,0,0,0,0,298682,147750,150932,3.634,66121,57553,46109,38719,36990,26711,17226,7222,2031,1260551,3.99886,-52.99994,83534,26.388889,21.87037,31.0,0.084667,20.296296,69.762887
GF,2020-01-24,ChIJU9f3hVcVEo0RRvQKD-n3J94,Q3769,country/GUF,GF,French Guiana,GF,GUF,0,0,0,0,0,298682,147750,150932,3.634,66121,57553,46109,38719,36990,26711,17226,7222,2031,1260551,3.99886,-52.99994,83534,26.574074,23.0,31.203704,0.084667,22.259259,77.360033
GF,2020-01-25,ChIJU9f3hVcVEo0RRvQKD-n3J94,Q3769,country/GUF,GF,French Guiana,GF,GUF,0,0,0,0,0,298682,147750,150932,3.634,66121,57553,46109,38719,36990,26711,17226,7222,2031,1260551,3.99886,-52.99994,83534,24.944444,23.5,28.962963,2.032,23.259259,90.447122
GF,2020-01-26,ChIJU9f3hVcVEo0RRvQKD-n3J94,Q3769,country/GUF,GF,French Guiana,GF,GUF,0,0,0,0,0,298682,147750,150932,3.634,66121,57553,46109,38719,36990,26711,17226,7222,2031,1260551,3.99886,-52.99994,83534,24.444444,23.888889,26.333333,15.24,23.62963,95.239271
