location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_workplaces,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
GW,2020-01-11,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,24.462963,17.666667,34.0,0.0,8.444444,36.217541
GW,2020-01-12,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,26.037037,17.833333,34.407407,0.0,10.092593,36.764005
GW,2020-01-13,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,26.518519,19.333333,34.666667,0.0,7.222222,29.531729
GW,2020-01-14,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,25.740741,17.925926,34.740741,0.0,8.018519,32.583135
GW,2020-01-15,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,26.111111,18.203704,34.666667,0.0,7.888889,31.53159
GW,2020-01-16,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,25.981481,15.537037,35.37037,0.0,6.5,28.912724
GW,2020-01-17,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,25.847222,16.805556,35.347222,0.0,7.680556,32.178252
GW,2020-01-18,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,25.208333,17.0,34.25,0.0,9.944444,38.21523
GW,2020-01-19,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,25.814815,17.092593,36.0,0.0,11.944444,42.512531
GW,2020-01-20,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,26.966667,17.3,35.322222,0.0,13.622222,45.314064
GW,2020-01-21,ChIJ8amCr3Q85A4RTggeVz-O6Ls,Q1007,country/GNB,GW,Guinea-Bissau,GW,GNB,0,0,0,,2,1,,,,,,,,1967998,962695,1005303,1080000,840922,578829,69.986,0.455,582349,450029,342384,254506,156575,92188,60416,24637,4914,1340389410,697,192776,12.0,-15.0,36130,33629,306,58.003,2.4,54.0,373.99,301.21,214.7,20.0,0.6851,0.1274,52.359409,37.730824,,,,,26.907407,18.5,35.666667,0.0,14.481481,46.6959
