location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_largest_city,population_clustered,population_density,human_development_index,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,human_capital_index,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,smoking_prevalence,diabetes_prevalence,infant_mortality_rate,adult_male_mortality_rate,adult_female_mortality_rate,pollution_mortality_rate,comorbidity_mortality_rate,hospital_beds_per_1000,nurses_per_1000,physicians_per_1000,health_expenditure_usd,out_of_pocket_health_expenditure_usd,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,income_support,debt_relief,fiscal_measures,international_support,public_information_campaigns,testing_policy,contact_tracing,emergency_investment_in_healthcare,investment_in_vaccines,facial_coverings,vaccination_policy,stringency_index,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
ET,2020-01-01,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,ET,ETH,0,0,0,,0,0,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114.964,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,568477,96107662398,857,0.385,192800,9.0,40.0,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.055556,9.722222,25.322222,0.0,9.433333,54.356549
ET,2020-01-02,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,ET,ETH,0,1,23,,1,23,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114.964,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,568477,96107662398,857,0.385,192800,9.0,40.0,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,17.555556,9.194444,23.541667,0.0,9.388889,59.533484
ET,2020-01-03,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,ET,ETH,0,0,0,,1,23,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114.964,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,568477,96107662398,857,0.385,192800,9.0,40.0,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,21.638889,12.435185,25.75,0.0,13.268519,59.474074
ET,2020-01-04,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,ET,ETH,0,0,0,,1,23,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114.964,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,568477,96107662398,857,0.385,192800,9.0,40.0,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.544444,13.222222,26.411111,0.0,10.311111,52.360268
ET,2020-01-05,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,ET,ETH,0,0,0,,1,23,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114.964,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,568477,96107662398,857,0.385,192800,9.0,40.0,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.953704,11.537037,26.935185,0.0,11.138889,53.643518
ET,2020-01-06,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,ET,ETH,0,0,0,,1,23,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114.964,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,568477,96107662398,857,0.385,192800,9.0,40.0,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.6,11.933333,26.533333,0.0,11.922222,57.849864
ET,2020-01-07,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,ET,ETH,0,0,0,,1,23,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114.964,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,568477,96107662398,857,0.385,192800,9.0,40.0,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.796296,13.62963,26.083333,0.0,12.814815,60.746452
ET,2020-01-08,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,ET,ETH,0,0,0,,1,23,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114.964,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,568477,96107662398,857,0.385,192800,9.0,40.0,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.422222,12.377778,25.711111,0.0,9.222222,49.861501
ET,2020-01-09,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,ET,ETH,0,0,0,,1,23,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114.964,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,568477,96107662398,857,0.385,192800,9.0,40.0,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.805556,10.962963,26.925926,0.0,10.962963,53.52608
ET,2020-01-10,ChIJK_1s3c7QNRYRWsVIU3-m9ns,Q115,country/ETH,ET,Ethiopia,ET,ETH,0,0,0,,1,23,,,,,,,,114963583,57516835,57446748,88290020,23788710,4591983,4591983,114.964,0.463,32037548,26828994,21439045,13792878,9038653,5704066,3624554,1929368,568477,96107662398,857,0.385,192800,9.0,40.0,1104300,1117893,5166,66.24,4.4,4.3,39.1,236.779,184.812,144.4,18.3,0.3,0.7135,0.0769,25.261953,8.692383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,19.277778,11.611111,25.833333,0.0,10.583333,58.256666
