location_key,date,place_id,wikidata_id,datacommons_id,country_code,country_name,iso_3166_1_alpha_2,iso_3166_1_alpha_3,aggregation_level,new_confirmed,new_deceased,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_tested,new_persons_vaccinated,cumulative_persons_vaccinated,new_persons_fully_vaccinated,cumulative_persons_fully_vaccinated,new_vaccine_doses_administered,cumulative_vaccine_doses_administered,population,population_male,population_female,population_rural,population_urban,population_density,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_and_older,gdp_usd,gdp_per_capita_usd,openstreetmap_id,latitude,longitude,area_sq_km,area_rural_sq_km,area_urban_sq_km,life_expectancy,diabetes_prevalence,average_temperature_celsius,minimum_temperature_celsius,maximum_temperature_celsius,rainfall_mm,dew_point,relative_humidity
KY,2020-01-11,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,27.722222,25.1,30.655556,0.0,21.855556,70.504022
KY,2020-01-12,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,28.4,25.011111,31.0,0.0,21.922222,68.392106
KY,2020-01-13,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,27.722222,25.133333,30.611111,0.0,22.422222,73.081792
KY,2020-01-14,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,27.255556,24.533333,30.233333,0.0508,21.788889,72.175688
KY,2020-01-15,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,26.222222,22.988889,29.6,0.0,19.644444,67.266187
KY,2020-01-16,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,26.477778,23.888889,29.5,0.9652,22.044444,76.758637
KY,2020-01-17,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,26.555556,23.4,29.222222,1.4224,20.922222,71.395699
KY,2020-01-18,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,25.744444,22.744444,28.744444,0.0508,20.1,71.383424
KY,2020-01-19,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,25.966667,23.233333,29.688889,0.254,21.566667,76.804016
KY,2020-01-20,ChIJKaq4Lz6GJY8RXnFwh9PERXA,Q5785,country/CYM,KY,Cayman Islands,KY,CYM,0,0,0,,0,0,,,,,,,,65720,37180,39213,0,64948,273.833,9182,8787,9727,10004,10819,11693,9471,4638,2072,5485419416,85477,2185366,19.5,-80.5,260,64,160,82.19024,6.8,25.822222,22.011111,29.7,0.5588,21.822222,78.647906
