location_key,date,wikidata_id,country_name,new_confirmed,new_deceased,population,latitude,longitude,school_closing,workplace_closing,cancel_public_events,restrictions_on_gatherings,public_transport_closing,stay_at_home_requirements,restrictions_on_internal_movement,international_travel_controls,contact_tracing,stringency_index
US,2020-01-01,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-02,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-03,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-04,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-05,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-06,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-07,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-08,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-09,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-10,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-11,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-12,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-13,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-14,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-15,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-16,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-17,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-18,Q30,United States of America,1.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-19,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-20,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
US,2020-01-21,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
US,2020-01-22,Q30,United States of America,4.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
US,2020-01-23,Q30,United States of America,2.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
US,2020-01-24,Q30,United States of America,1.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
US,2020-01-25,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
US,2020-01-26,Q30,United States of America,1.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
US,2020-01-27,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
US,2020-01-28,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
US,2020-01-29,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
US,2020-01-30,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
US,2020-01-31,Q30,United States of America,1.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
US,2020-02-01,Q30,United States of America,1.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
US,2020-02-02,Q30,United States of America,3.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.56
US,2020-02-03,Q30,United States of America,4.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.56
US,2020-02-04,Q30,United States of America,2.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.56
US,2020-02-05,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.56
US,2020-02-06,Q30,United States of America,0.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.56
US,2020-02-07,Q30,United States of America,1.0,0.0,331002647,39.828175,-98.5795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,5.56
